,0,TF
41454|RELA,1.9573732633062921e-125,RELA
5377|STAT1,1.3489660523791574e-114,STAT1
38452|JUNB,4.1381063630612505e-113,JUNB
41465|SPI1,3.1886198450917785e-106,SPI1
52852|ERG,6.536743819482051e-98,ERG
39863|IRF4,2.9853349670583397e-97,IRF4
52850|FLI1,9.640953937820756e-97,FLI1
52853|CEBPA,1.1551083479425306e-95,CEBPA
50599|CEBPB,1.4361915252069415e-95,CEBPB
51870|RXRA,5.819688793505422e-95,RXRA
9637|NCOR2,8.72189227154844e-94,NCOR2
51061|IRF8,1.2103886172441429e-93,IRF8
51871|PPARG,1.7327627178105663e-88,PPARG
37647|JUN,1.122814516784314e-86,JUN
52856|MLLT3,1.9242914806611048e-86,MLLT3
43537|BATF,1.4400987791715225e-83,BATF
43536|T,4.4096727107664034e-83,T
38376|STAT6,3.6264244021583623e-82,STAT6
35620|GRIP1,3.630554002537365e-78,GRIP1
39666|NR1D2,1.571278034129375e-75,NR1D2
50148|MEIS1,7.452085733109918e-73,MEIS1
36708|STAT5B,2.0991455527452423e-68,STAT5B
5790|HDAC3,4.461001276325964e-59,HDAC3
53793|BATF3,8.762695358430322e-59,BATF3
55118|NR3C1,4.9001029104182583e-57,NR3C1
52832|BRD4,2.9194089506174786e-56,BRD4
52889|TRIM33,3.6157040382589993e-56,TRIM33
44805|MED1,3.234613401922609e-52,MED1
8667|HOXB4,5.923179649894842e-52,HOXB4
51914|IRF1,2.6536115415408695e-50,IRF1
58590|CHD8,7.269560282787583e-49,CHD8
36705|STAT3,1.4394601313825795e-48,STAT3
51911|STAT2,1.7888802699829678e-48,STAT2
40093|FOSL2,7.625291183725269e-48,FOSL2
44264|RUNX1,3.3895009543206846e-45,RUNX1
33819|JUND,2.55109838533782e-43,JUND
52060|SMARCA4,3.019110790479709e-42,SMARCA4
4591|STAT5A,2.7339427547072956e-41,STAT5A
39926|GFI1,4.932677605641018e-40,GFI1
51259|NFATC2,4.4353027149312224e-39,NFATC2
47309|MAF,2.0789292686842216e-37,MAF
9639|BCL6,1.2785546907918762e-36,BCL6
44793|KLF5,1.239714929856682e-35,KLF5
48242|YAP1,2.629836707193883e-35,YAP1
50144|TGIF1,3.787136452160501e-35,TGIF1
50238|SPIB,6.520985443570958e-34,SPIB
41196|RNF2,6.544182760507265e-33,RNF2
46404|ETS1,1.5108308371025235e-32,ETS1
46401|BHLHE40,6.007977880498013e-32,BHLHE40
37898|E2F4,2.0472302714253444e-31,E2F4
4417|PAXIP1,3.834198158949589e-31,PAXIP1
34419|MYOD1,7.493303953874565e-31,MYOD1
44794|PBX1,1.9206732765633866e-30,PBX1
41197|CBX7,1.970172761032386e-30,CBX7
39702|IRF3,6.842644701105313e-30,IRF3
44796|VDR,7.927438473136089e-30,VDR
35751|KDM1A,5.6712732782441655e-28,KDM1A
57880|IKZF1,3.3737663296929994e-27,IKZF1
5820|TBX21,4.309209309822579e-27,TBX21
37004|BACH2,4.4636503591354764e-27,BACH2
4588|STAT4,4.6778073896587236e-27,STAT4
41984|KMT2B,8.688917678040381e-27,KMT2B
53929|RORA,4.679905209919646e-26,RORA
44255|TCF7L1,1.4859350691495813e-25,TCF7L1
44260|GATA2,2.340780571034137e-25,GATA2
35811|NR6A1,1.211930678116334e-24,NR6A1
8931|PAX5,3.833425003209607e-24,PAX5
485|MYB,2.931760567760166e-23,MYB
39125|CTCF,1.4595159676011264e-21,CTCF
53909|SMC1A,4.011622275844932e-21,SMC1A
54372|KLF15,5.7218899317979755e-21,KLF15
35897|H2AZ,1.158563898328537e-20,H2AZ
40129|RORC,2.2099612788352992e-20,RORC
44792|KLF4,2.673721274077643e-20,KLF4
49094|HOXA9,5.81939734622988e-20,HOXA9
46402|MAFK,9.09556009780875e-20,MAFK
55535|RAG2,6.804060675011829e-19,RAG2
46397|SMC3,6.900095391627177e-19,SMC3
46390|MYC,9.446860746547119e-19,MYC
43701|RUNX2,3.0963224895842913e-18,RUNX2
44629|TEAD2,4.828541953396166e-18,TEAD2
54170|SOX9,6.502216099391289e-18,SOX9
44261|LMO2,6.73728039808956e-18,LMO2
54223|RAD21,6.958051958340388e-18,RAD21
36733|ESR1,8.443668112513774e-18,ESR1
35784|TAL1,9.099682688912462e-18,TAL1
46416|ZNF384,9.919229654951982e-18,ZNF384
39665|NR1D1,3.373587831212649e-17,NR1D1
294|MSX1,5.098538531844519e-17,MSX1
33231|CBX8,1.0901697718045525e-16,CBX8
46414|ZC3H11A,1.9860265648382276e-16,ZC3H11A
46398|CHD2,2.1344313336074327e-16,CHD2
43610|EBF1,3.8103503901916184e-16,EBF1
58597|GATA3,4.3514384558531784e-16,GATA3
47394|RUNX3,4.765791713955961e-16,RUNX3
46413|HCFC1,5.92311095112559e-16,HCFC1
34413|MXI1,6.327403661182957e-16,MXI1
55264|E2F3,1.153116691830749e-15,E2F3
46405|RCOR1,1.2273305006770192e-15,RCOR1
332|SIN3B,1.2388906524090134e-15,SIN3B
2410|NELFB,1.6875812683542078e-15,NELFB
46400|NELFE,1.8686487344627924e-15,NELFE
48325|ATF3,3.148289801392638e-15,ATF3
51650|GATA1,3.7961309219990195e-15,GATA1
46388|TBP,4.565509714682601e-15,TBP
44148|SRF,5.0686837703422775e-15,SRF
46392|MAX,6.517527185520742e-15,MAX
41406|KLF3,7.681951259644854e-15,KLF3
46406|SIN3A,1.0721988913953783e-14,SIN3A
37876|MAFF,1.5391476807121975e-14,MAFF
43596|CHD4,1.9206672242987287e-14,CHD4
39769|OGT,4.8180285176563575e-14,OGT
34277|SOX2,6.598342955602102e-14,SOX2
178|RXRG,7.6400315258788e-14,RXRG
33122|ATF4,9.715391123039742e-14,ATF4
46394|USF2,1.160772128129596e-13,USF2
32920|RPA,1.166136144344351e-13,RPA
44777|CREBBP,2.0243592429826093e-13,CREBBP
39940|PR,8.982826001537472e-13,PR
44266|MITF,1.3237067799638266e-12,MITF
58101|SUMO2,3.450947839760214e-12,SUMO2
34039|NANOG,3.535778530370185e-12,NANOG
44787|ATF2,4.464061856553445e-12,ATF2
52523|TFAP2C,7.871841470875852e-12,TFAP2C
43598|SMARCA5,9.83278250507765e-12,SMARCA5
59294|CEBPG,1.463417031327874e-11,CEBPG
58851|MTA2,1.6238021299413718e-11,MTA2
48539|ZBTB17,1.6392444400145522e-11,ZBTB17
