,0,TF
UP00102|ZIC1,5.349916600608586e-19,ZIC1
MS00239|Tcfap2a,2.627126336130175e-18,Tcfap2a
MS00228|TFAP2B,3.2469300519271913e-18,TFAP2B
MC00506|Spi1,6.881228937656992e-17,Spi1
MC00180|Sfpi1,6.881228937656992e-17,Sfpi1
UP00087|Tcfap2c,1.9934925105106711e-16,Tcfap2c
M01118|WT1,2.5097871066673165e-16,WT1
MS00173|RUNX2,3.0386005552722396e-16,RUNX2
UP00093|Klf7,3.8393723776395285e-16,Klf7
UP00006|Zic3,6.13523278259309e-16,Zic3
M00665|SP3,1.0122911014831282e-15,SP3
MC00427|ETV1,1.1618571506665017e-15,ETV1
MS00346|ZIC3,1.231976898581204e-15,ZIC3
MC00430|Egr2,3.728323756176153e-15,Egr2
UP00010|Tcfap2b,3.8217657727252665e-15,Tcfap2b
UP00057|ZIC2,5.287582535821418e-15,ZIC2
MC00110|Klf1,7.130874720369812e-15,Klf1
MS00246|SP8,1.3736747846383376e-14,SP8
MC00182|E2F1,1.9760589376577695e-14,E2F1
MC00128|CTCF,2.0534792456886922e-14,CTCF
MC00168|ERG,2.117517077120458e-14,ERG
MC00509|NR2C2,2.9011161823354555e-14,NR2C2
MC00319|EGR2,3.4685783412911056e-14,EGR2
MS00212|SP1,3.6778232621806064e-14,SP1
MC00371|JUNB,5.4966394145396756e-14,JUNB
MC00374|TFAP2C,5.90059928215378e-14,TFAP2C
MC00330|FOS,6.921053617751393e-14,FOS
MS00258|HEY1,7.177662728083152e-14,HEY1
MC00328|Zfx,1.4379517471369496e-13,Zfx
UP00028|Tcfap2e,1.852511669457145e-13,Tcfap2e
MS00789|Egr3,2.1547954994104048e-13,Egr3
MS00678|EGR4,2.2079862837133641e-13,EGR4
M01714|KLF15,2.9129575431569676e-13,KLF15
MA0014|PAX5,4.1253838487185863e-13,PAX5
MC00457|ELF1,6.192997509404725e-13,ELF1
MC00109|Klf4,6.791851993829746e-13,Klf4
MS00135|KLF14,7.933016612540976e-13,KLF14
MS00567|EGR3,9.275639421944555e-13,EGR3
MS00021|ETV6,9.637827345424096e-13,ETV6
MC00394|MYC,1.0346152080118078e-12,MYC
MS00227|TFAP2A,1.0939404210406654e-12,TFAP2A
UP00404|ELF2,1.1641507174587134e-12,ELF2
MS00035|GLIS2,1.229900691558688e-12,GLIS2
MS00357|ZIC4,1.2909013219092593e-12,ZIC4
MC00418|ZBTB33,1.3061275010675386e-12,ZBTB33
M01175|ZBTB7B,2.0065397210447813e-12,ZBTB7B
MC00207|ELK4,2.9008308073205803e-12,ELK4
MC00333|ESR2,3.1261387719997755e-12,ESR2
MC00320|EGR1,3.2293452477494648e-12,EGR1
M00341|GABPB1,3.690898006988805e-12,GABPB1
MS00260|HEY2,3.761112545913307e-12,HEY2
MS00311|Creb3l2,4.003428567982577e-12,Creb3l2
MC00456|JUND,4.348628821217417e-12,JUND
MC00252|Rara,4.997053471437422e-12,Rara
M01100|ZBTB7A,6.152399447959634e-12,ZBTB7A
MC00373|Mxi1,6.1959620392815065e-12,Mxi1
MC00299|BRCA1,6.9549960582201545e-12,BRCA1
M00649|MAZ,7.452417178686852e-12,MAZ
MS00157|Klf12,7.959241717295884e-12,Klf12
MC00158|E2f4,7.972861777189492e-12,E2f4
MS00111|NFKB2,8.703813655240385e-12,NFKB2
MS00019|ETV5,8.773793660337619e-12,ETV5
MC00532|Mycn,9.897411421493932e-12,Mycn
MS00183|GMEB2,1.0010170678404595e-11,GMEB2
MC00513|SFPI1,1.1540166330172282e-11,SFPI1
M00733|SMAD4,1.2614764897387959e-11,SMAD4
MA0163|PLAG1,1.894964945359436e-11,PLAG1
MC00321|JUN,2.6837442511029712e-11,JUN
MC00351|FOSL1,2.6985398908466803e-11,FOSL1
MC00221|Tbx3,3.0210343148023055e-11,Tbx3
M00647|NR1H3,3.168382711506022e-11,NR1H3
MC00254|E2F6,3.277475586652433e-11,E2F6
MC00124|MAX,3.805855845592139e-11,MAX
MC00475|Nfic,4.178595758701135e-11,Nfic
M00644|UBP1,4.382922283626828e-11,UBP1
MC00510|E2f3,4.4216531686974356e-11,E2f3
MS00255|HES5,5.15342840397032e-11,HES5
MC00337|Ikzf3,5.993558932960442e-11,Ikzf3
MC00461|Max,6.681284919593427e-11,Max
MC00385|Ets1,7.099965950857242e-11,Ets1
MC00257|Pax5,7.169402669900188e-11,Pax5
M00695|TEAD2,8.580465480138589e-11,TEAD2
M00139|AHR,8.651304238964823e-11,AHR
MS00090|HINFP1,8.855368017577035e-11,HINFP1
MC00391|ZNF143,9.876848265164158e-11,ZNF143
MS00288|TFE3,1.240667011732603e-10,TFE3
UP00330|XBP1,1.2665235087928828e-10,XBP1
MC00523|E2F4,1.4085076693253398e-10,E2F4
MC00187|Ctcf,1.584887862778665e-10,Ctcf
MC00367|GABPA,1.8477970847576334e-10,GABPA
M00327|PAX3,1.871680132701206e-10,PAX3
MS00725|MTF1,1.892671087694863e-10,MTF1
MS00046|GLIS3,2.263205507404e-10,GLIS3
MC00142|PPARG,2.3955373250850377e-10,PPARG
MS00834|ELF4,2.5025111577422476e-10,ELF4
MS00256|HES7,3.053561798465109e-10,HES7
M01783|SP2,3.2775640699265594e-10,SP2
MC00206|ELK1,3.607273211925303e-10,ELK1
MC00151|SPI1,4.471811813537069e-10,SPI1
M01002|DEAF1,4.725641664173303e-10,DEAF1
M01592|TFCP2L1,4.892805921065632e-10,TFCP2L1
MS00235|SP4,5.180380751846727e-10,SP4
MS00048|GCM1,5.205462200935673e-10,GCM1
M00115|CNTN2::CREB1,5.531482258020412e-10,CNTN2::CREB1
M01009|HES1,5.569229103470124e-10,HES1
