Gene,MIP56_Myo_DS
Gata4,3.35656873940607
Nkx2-5,1.69877145025885
Tbx5,1.44872196452391
Irx4,1.10329145434178
Ntn1,1.0751428042843
Scn4b,1.07458670448548
Rnf220,1.06503911633588
Metap1d,0.985713633378013
Hand2,0.967611809902454
Tbx20,0.903381707364896
Ntng2,0.813879046203696
Ank1,0.711866155792472
Btnl9,0.707540859084524
Nfix,0.694319594260235
Nav2,0.693116854597364
Sox17,0.691295566795806
C1qa,0.683754060713414
Tnni3,0.679706578807015
Prdm16,0.67705768978753
Gata6,0.666472546280036
Tbx3,0.6425479033748
Gata2,0.627709127064278
Pde2a,0.624033135488317
Cdh22,0.605028438854989
Alx4,0.579314428608993
Slc6a17,0.578630714909783
Irx1,0.53331664684202
Syt7,0.526511824570182
Cbx8,0.517917743431363
Cacna1c,0.494166412106992
Irx2,0.485633218779189
Slc26a10,0.480413593892708
Sfrp1,0.477880150861709
Ebf3,0.454053186712024
Mafb,0.44607092729751
Msx1,0.436522409818012
Hcn4,0.430727632242804
Wt1,0.412379650248531
Kcnh2,0.390616029537602
Spr,0.384648919229616
Hoxd8,0.383477987207655
Ebf2,0.377968452685664
Gnas,0.375959854454111
Irx5,0.375065455056816
Foxc1,0.371416276806358
Shank1,0.367322886928787
Meis2,0.366929676801934
Blk,0.360214614865535
Gja3,0.350177971760746
Eef1a2,0.349180135438257
Lhx6,0.34405071317013
Dok7,0.340615262859675
Lrrc4b,0.331458329526741
Inhbb,0.328412710952637
Tbx2,0.326064032958581
Plxna4,0.321675850036595
Thbd,0.318017355020122
Prkag1,0.313945587209336
Slc12a5,0.30892737599981
Bcor,0.304665957349216
Igf2,0.298449639865115
Cux2,0.298393253790032
Ptprn2,0.298122959449081
Ppie,0.29481440278938
Nr2f2,0.292170352114148
Slc17a7,0.290310219503915
Shtn1,0.289428768968861
Gdf6,0.287348515811234
Bub3,0.287201351812432
Pdgfb,0.285634486142644
Exoc6,0.283344822736838
Dbh,0.279781315058411
Tbx18,0.27222764166526
Fam172a,0.266247976825167
Fli1,0.256143954293423
Meis1,0.254193920817573
Kcnj5,0.253318312300003
Trim63,0.248376637722344
Kcnk3,0.244020120805021
Smug1,0.236950396124192
Adora1,0.220829136083131
Tal1,0.220167377955724
Kcnq1,0.217520090949273
Six1,0.216310420382909
Bcl11b,0.214519580197403
Kcnd3,0.211915597030731
Nrn1,0.209522463516408
Dmtn,0.206111911789009
Car4,0.203566015217901
Slc8a2,0.198810771599124
Nt5c1a,0.195203886376616
Fbxl16,0.193413109721879
Olfm1,0.192190323425446
Rxrg,0.191144578872134
Hlx,0.189786932325795
Grm4,0.188572782317911
Lmo2,0.187343121240433
Syt2,0.186786488514386
Ripk4,0.182017188787214
Bmp7,0.180211746742916
Rgma,0.178270601148874
A530016L24Rik,0.171249045676458
Ngfr,0.16969000447244
Tnnt2,0.16947634998262
Hsf4,0.163452430684166
Kcnb1,0.156725289639318
Rspo1,0.154095246180332
Bmi1,0.153548990802576
Megf11,0.1528261172941
Sypl2,0.150840489568605
Elfn2,0.147923081008039
Nfib,0.145600676506564
Esrrb,0.144709782582848
Igsf9b,0.144038281412973
Pknox2,0.134700810475169
Dpysl2,0.134031122738641
Crlf1,0.132419352118884
Kcnc1,0.130226391274654
Comp,0.129160951067566
Egflam,0.127756465513936
Dsp,0.126042021314588
Bcl11a,0.126008547633582
Adcy5,0.125796015860649
Ebf1,0.125560555497632
Foxc2,0.125064320773322
Phf24,0.124831528596858
Mmp9,0.124331245545758
Adra1b,0.124223185815065
Vsig2,0.123439255995523
Tbkbp1,0.122824131455088
Ddn,0.120175754060486
Cdh4,0.119942134582941
Cyp26b1,0.118901494465439
Robo3,0.118296215136009
Phactr3,0.116909330033509
Ano1,0.116409586788519
Scn5a,0.115684216961441
Prrx1,0.111172084041967
Kif1a,0.110918106052782
Adamtsl2,0.110823300359847
Mt2,0.110024313648385
Ablim2,0.109702452430387
Irf8,0.109419250257578
Zbtb16,0.109406201973811
Nr5a2,0.109257728093976
Tbx15,0.106236277842257
Tchh,0.105969042045327
Ccm2l,0.105556504451484
Pcdhga2,0.104961910560039
Zbtb7c,0.102211184257809
Sox18,0.102142189663363
Crmp1,0.101938489492449
Atoh8,0.1018088916615
Ankrd1,0.0999598502069232
Nfic,0.0989060945722045
Meis3,0.0987789984102397
Nsg1,0.0980880205969564
C1qc,0.0970142477336294
Slfn2,0.0965668481494621
Itpka,0.0957535811227876
Arhgap36,0.095270316871385
Sox7,0.0944918891138443
Bhlhe41,0.0929667873443964
Helt,0.092159107951046
Qsox2,0.0909199003181676
Kcnj4,0.0904878297726611
Syn2,0.0881894527291631
Fads6,0.0872156417665953
Mecom,0.0870369667542953
Ehbp1,0.0869607837887418
Cbx2,0.0869020242662974
Twist1,0.0867895384196168
Nppb,0.0864559452645128
Cntfr,0.0864489006735323
Xkr6,0.0862658172383433
Pcdh1,0.0861876931705959
Cbx4,0.08581847599372
Itga9,0.085424428748434
Frmd4a,0.0853622996988376
Dnaaf3,0.0843867344859351
Bmp4,0.0839515269559569
Perm1,0.0818968835148
Speg,0.0814955049891755
Ripk3,0.0808268805940087
Col4a2,0.080298453277778
Phf21b,0.0796114845826055
Lmx1b,0.0794638356676884
Pcdhga7,0.0789260450501659
Cd40,0.0787346601681606
Grin2c,0.0765847982619982
Pde1b,0.0760278844016086
Sema5b,0.0757078489562636
Pcdhgb2,0.0747646366727822
Cdkn2c,0.0741625300774272
Mcf2l,0.0730460829970521
Eml1,0.0726193675689464
Nat8l,0.0724595973240825
Clybl,0.0723219712775745
Nr2f1,0.0712256900576667
Bcan,0.071096965391142
Camta1,0.0703990506431331
Gata3,0.0702982051383278
Sorcs2,0.0702901431442249
Camk2n1,0.0690925942240615
Smarcd3,0.0690464407404858
Zfhx3,0.0689560117385084
Erg,0.0682235926765489
Ephb3,0.0664618576580596
Pcdhga6,0.0659290567675999
Tmem132e,0.0653591026268292
Grip2,0.0652711637305113
Tnfrsf12a,0.0645194328639774
Osr1,0.0638487017557289
Cacna1g,0.0636858010777989
Tcf21,0.0634683188082787
Auts2,0.0632531590183524
Tmem179,0.062913554016406
Irx3,0.0626821490592079
Gata5,0.0625940793586108
Kcnk13,0.0614807791887982
Pcdhga3,0.0612598918787984
Foxe1,0.0611862783610725
Cxcl14,0.060362354920634
Arhgap19,0.0601640470936103
Pde4a,0.0600679158951241
Hey2,0.0593585258859782
Nrxn2,0.0591039581965894
Iqsec2,0.0580301434970724
Trim67,0.05799022491393
C1qb,0.0573885712862818
Rap1gap,0.0569984098173965
Irf4,0.0562773083725235
Actr5,0.0560123534035437
Sept5,0.0559590310813925
Rai2,0.055923543834926
Arhgap29,0.0558230356873694
Tead1,0.0552919278535523
Six2,0.0552080933925614
Sstr4,0.0550951464987997
Efnb3,0.0544465836573981
Pcdhga5,0.0544034771315151
Galnt9,0.054361772175803
Pear1,0.053756850729881
Slit1,0.0527285140963365
Srcin1,0.0527116751366447
Cntn2,0.0516577787535898
Celf4,0.0512763365473199
Myo5b,0.0512548537910823
Adgra1,0.0501711224942363
Fgd5,0.0501181330119125
Cacna1s,0.0496552572469285
Mn1,0.0496076590872161
Tcea3,0.0495467239764661
Col27a1,0.0492774861689767
Myh6,0.0492610742129999
Prox1,0.0491029540067544
Scube1,0.0488759112241946
Slfn4,0.0484445392518345
Commd3,0.0482161318346132
Scara5,0.0481416042677957
Rbbp7,0.0481194340322744
Tcea2,0.0480370558326344
Pth1r,0.0471803395310936
Mthfsd,0.0471309178455773
Lingo1,0.0468200673133401
Pcdh19,0.0464325905386234
Ntrk1,0.0462645245564732
Gm1673,0.0457892018153001
Pcdhgb4,0.0454307668908029
Ptpn3,0.0450305342986476
Syt5,0.0448280569101028
Gbx2,0.0447960637393491
Macrod1,0.0446138668968235
Pcdhgb1,0.0445872257693332
Pcdhga1,0.0445817649932019
Mal,0.0445517002165959
Bahcc1,0.0444158394202605
Aldh1a2,0.0444104896131918
Atp2b2,0.0441922152112386
Unc5a,0.0435271457934687
Fhod3,0.0431356254517797
Ets1,0.0431257218221582
Faf1,0.0426901615867496
Pcdhgb8,0.042344378283781
Pgm5,0.0421759376530599
Shox2,0.0421587220331695
Pcdhga4,0.0419851680931621
Gsg1l,0.0415601483653927
Rims4,0.0407656232508697
Cpeb1,0.0407336022424596
Pax5,0.0401856899094026
Kirrel3,0.0400825018982475
Tbx1,0.0395647477734167
Mrgpre,0.0394799786884634
Tjp1,0.0393567783825995
Rpf1,0.0393014845745536
Neurl1a,0.0392746458307368
Pck1,0.0386195672055532
Unc13a,0.0381369470218839
Prkag2,0.0380859940881876
Hck,0.0380540480395636
Nkd2,0.0379367647699576
Nckap1l,0.0379139021412446
Satb2,0.0379034553363623
Pcdhgb5,0.037801043777433
Tspan9,0.0373339503475841
Ptch1,0.0372705225367993
Cdh23,0.0370341764790695
Itgb2,0.0367738862848453
Ush1c,0.0366366829678932
Kcnt1,0.0366123832024189
Etv5,0.0365551323407152
Mcc,0.0365087972543382
Plcb2,0.0364804364176828
Dmrta2,0.0363242388529962
Gpx8,0.0360723752339274
Zfp503,0.0358663692804639
Mtmr9,0.0356653575028016
Gimap5,0.0356053228111766
Foxo6,0.0353730792119523
Stc2,0.0346484948563085
Jph3,0.0344589687589713
Ifitm10,0.033711274989142
Wscd1,0.0335390983928528
Lmf1,0.0327415204777882
Tcf15,0.0326721285632595
Kcna1,0.0322154840724641
Dusp8,0.03218695347525
Trabd2b,0.0320858562115242
L1cam,0.0320502187203487
Slfn3,0.0316915743530184
Nova2,0.0316192999680693
Kcna2,0.0312298020915674
Eps8l1,0.0310017601877502
Nptx1,0.0309813560611688
Extl1,0.0308556898226512
Grik3,0.0306754477774014
Foxd2,0.0306419189195252
Arhgef7,0.0303350599749958
Nr4a2,0.0302798832057336
Mvb12b,0.0302379447600587
Dlgap4,0.0300743387211043
Nhsl2,0.0300490078011166
Hoxa7,0.0300144683139038
Prdm6,0.0298060156017152
Tcf20,0.0297863365464753
Kcna5,0.0297779144828631
Nfatc1,0.0295681124594444
Cpxm1,0.0294517734893069
Dysf,0.0292206583524044
Fbrsl1,0.0290744545004779
Troap,0.0287399423980572
Bambi,0.0285317837145162
Kcna4,0.0284689600543275
Cacna2d2,0.0280749846410506
Adra2c,0.0279383197157342
Kif26a,0.0277339461146975
Zfp518a,0.0276264483464817
Pcdhgb6,0.0275797843963611
Foxf2,0.0273668567948392
Asb10,0.0273059222560079
Cplx1,0.0268511983250586
Wdfy4,0.0265711480390975
Kif26b,0.0258676133688071
Dll4,0.0255775388440699
Dpysl5,0.0255185234008912
Stk3,0.0253145614339322
Ntf3,0.0252655095859923
Pdlim3,0.025249488977232
Megf6,0.0252438186857158
Pcdhga9,0.0251158073897
Mill2,0.0246380158243231
Slfn1,0.0244803799308415
Hmcn2,0.0240816415368494
Rorc,0.0239136589379945
Wnt5a,0.0237951460106973
Cplx2,0.0237675232781166
Frmpd1,0.0235716667297431
Sptb,0.0235073756507347
Col18a1,0.0234115959690859
Oaf,0.0232939451924486
Egr3,0.0230084227789162
Plagl1,0.0228911052198673
Hspa12a,0.0228872571575331
Duoxa1,0.0227996203028766
Tsc22d3,0.0226715748385143
Gbx1,0.0222703879992082
Espn,0.0221137497688733
Cxcl16,0.0220766708229162
Hhatl,0.0219271887505781
Cacna1h,0.0218227704812235
Onecut2,0.0218017143290568
Gnal,0.021789097235272
Pak6,0.0217430378396194
Gmds,0.0216770037908608
Igf2bp3,0.0216764302094499
Zfpm1,0.0216501886284778
Mroh5,0.0215134163886637
Spon1,0.0213674511399673
Astn2,0.0212759358978285
Agap2,0.0211311674541996
Dock9,0.0210740984026891
Ryr3,0.020976625090733
Foxd3,0.0209534133395572
Slc30a2,0.0207800185623388
Ildr2,0.0206614935138307
Ovol1,0.0206070829433726
Pcdhgc3,0.020364795608533
Bhlhe22,0.0201748137644307
Zeb2,0.0199132099644881
Wfdc1,0.0198279256214144
Zfp423,0.0198089719574284
Klhdc8a,0.0196866802119024
Pcdhga8,0.0196534366411682
Galnt18,0.0195725951524205
Fam124a,0.0195574611740201
Fignl2,0.0194661819997615
Tmem176b,0.0193612916744889
Rbfox3,0.0190096496889981
Adcy4,0.0190008821832574
Mast4,0.0189395666453327
Shroom1,0.0189237928184769
Pdia6,0.0187181670241446
Arhgef12,0.018711205246587
Edn3,0.0186611534252757
Arc,0.0185305104758127
Celsr1,0.0184091470512246
Lgr6,0.0182816489130549
Kcnj12,0.0181633031673877
Acan,0.0180175065062229
Myom2,0.0178596956202687
Jph2,0.0178523041960145
Chd5,0.017644687514731
Slc1a2,0.0175601950051975
Ret,0.0175497630615858
Iqsec3,0.0175431003789893
Plch2,0.017432103713041
Wif1,0.017349103447195
Asic4,0.0173466728023479
Zmynd15,0.0171935213531117
Camk2b,0.017152731289219
Tbc1d16,0.0171426605117436
Prkcz,0.0171218621033032
Cyp26c1,0.0171179959507419
Fbrs,0.0169437860747985
Sfrp2,0.016925182511619
Bmp6,0.0167745793524408
Zfp536,0.0167475703797756
Rora,0.0163381447780472
Ebf4,0.0162829708028269
Aldh1a3,0.0162763149906215
Sall1,0.0161540524089406
Sv2b,0.0160791971117992
Ptp4a3,0.0160110213199941
Lrrc52,0.0160001224678163
Wwtr1,0.0158535611553972
Drd2,0.015807054634523
Spns2,0.0157600010330504
Pamr1,0.0157192045254499
Pitx3,0.0156579679997789
Bcar1,0.0156410836038018
Ptk2,0.0155784014915583
Wrap53,0.0154884583816905
Aqp5,0.0154347784428928
Plxnc1,0.0152514050026259
Pcdhgb7,0.0152186254643027
Ccnd2,0.0152157396663295
Fxyd6,0.0151543320356129
Tenm4,0.0151029192719448
Ttn,0.0150574947202503
Egfl7,0.01505193615465
Wnt6,0.0150421246659691
Pdzd4,0.0149903359452198
Cdk18,0.0149332778989718
Slc6a12,0.0149225252318239
Ikzf1,0.0148782911330523
Myh7,0.0148112414939614
Sertad4,0.0147909432803601
Rasgef1a,0.0147814536635768
Acss1,0.0147419729032391
Kif19a,0.0146923420128294
Cdh13,0.0146268966972304
Abcc8,0.0146046301452933
Pax6,0.0145807708941546
Lrrn2,0.0145717695055748
Fstl4,0.0145648184056746
Chrna2,0.0144123444439425
Grrp1,0.0143434633219178
Chst1,0.0143058031812257
Ptgds,0.0142020899178476
Cdh5,0.0141957570948495
Col4a1,0.0141557684287248
Plce1,0.0140810968981006
Prss16,0.013865019264001
Plekha6,0.0138415760925914
Cbfa2t3,0.0138096887605357
Dnah8,0.0136432695571857
Ythdc2,0.0135708179158575
Unc5b,0.0135299367546191
Slc17a9,0.0135138477584932
Slfn9,0.0134713146392781
Ric8b,0.0134476299456462
Islr2,0.0134209174116625
Nrg2,0.0133041372228231
Crhr2,0.0132732546212491
Krt7,0.0132481123992737
Rap1gap2,0.0131080143751234
Pdgfra,0.0130717597626578
Slc18a2,0.0130610691964635
Rab37,0.0130420882585111
Plekhh1,0.0130035476999128
Rbm19,0.012960054357973
Trim36,0.0128802466061702
Ammecr1,0.0128683534541013
Map1b,0.0128601870121768
