Symbol	logFC	unshrunk.logFC	logCPM	PValue	FDR
Arg1	10.00807245	10.17359831	6.574171727	5.64E-37	1.16E-32
Tnc	6.906046294	6.912264201	8.661264478	1.32E-31	1.36E-27
Serpinb1a	3.865198292	3.867476222	4.281614192	8.55E-31	5.88E-27
Timp1	6.098236827	6.109229546	5.813447336	1.52E-29	7.86E-26
Lox	4.692379568	4.698509403	7.021864638	1.37E-26	5.67E-23
Adam8	6.330807957	6.350055753	6.092552757	2.01E-26	6.90E-23
Col12a1	5.185922676	5.198331295	6.640519469	3.93E-20	1.16E-16
Hmox1	3.727789051	3.729226849	7.088028334	1.49E-19	3.84E-16
Cxcr6	4.384678711	4.396277855	1.98715623	2.58E-18	5.92E-15
Fn1	3.312370046	3.312546206	10.73373703	4.79E-18	9.89E-15
Cthrc1	6.786847617	6.950877168	4.515371231	1.35E-17	2.53E-14
Serpinb9b	5.639234196	5.706691096	1.055430961	2.04E-17	3.51E-14
Tubb3	6.689996444	6.74591883	2.416698327	3.06E-17	4.67E-14
Cd24a	4.243969987	4.262417072	4.04917356	3.17E-17	4.67E-14
Lgals3	5.638738155	5.645024076	6.799560987	6.98E-17	9.61E-14
Cd44	2.903271966	2.904420784	7.066181718	1.73E-16	2.23E-13
Slc16a3	3.498653538	3.500713469	5.600159213	5.92E-16	7.18E-13
Spp1	10.5548085	10.61019747	9.92557223	7.85E-16	9.00E-13
Ankrd2	3.87013599	3.87746745	0.286693227	9.11E-16	9.90E-13
Slpi	5.558529173	5.606472438	3.060781202	1.18E-15	1.21E-12
Cd5l	7.769551487	8.08276024	2.612772507	1.30E-15	1.28E-12
Saa3	9.651725501	9.81751546	5.114115273	3.96E-15	3.71E-12
Thbs1	4.15463226	4.15668195	9.294845343	4.62E-15	4.14E-12
Adam12	3.659607512	3.671081556	4.840299328	1.15E-14	9.87E-12
Adamts4	4.375000655	4.385698678	6.764056697	4.70E-14	3.88E-11
Star	2.81755014	2.82090624	2.174752333	6.08E-14	4.82E-11
Clec4d	6.569191684	6.732789582	4.489262365	1.51E-13	1.16E-10
Aldh1a2	3.71993864	3.725792198	6.675763281	2.00E-13	1.48E-10
Csf2rb	3.755719248	3.768141829	5.458576464	5.25E-13	3.73E-10
2200002D01Rik	2.811423664	2.817204526	1.347990306	1.25E-12	8.62E-10
S100a4	3.948645226	3.967777394	3.895868255	1.40E-12	9.33E-10
Galnt6	4.136223027	4.158189721	3.488875505	1.68E-12	1.08E-09
Dhrs9	8.614834122	144269485.4	3.00880665	3.26E-12	2.04E-09
Diap3	4.177351467	4.218268293	4.765217679	4.05E-12	2.46E-09
Ccnb2	3.757396146	3.778841648	4.794175216	4.19E-12	2.47E-09
Ccl2	4.308174994	4.3212438	6.227296738	5.46E-12	3.11E-09
Capg	2.843597228	2.844822371	6.213397634	5.58E-12	3.11E-09
F10	4.478809486	4.526043038	3.732907613	8.89E-12	4.83E-09
Plcxd2	3.626286604	3.652955559	1.549958683	9.58E-12	5.07E-09
Sprr1a	9.811047724	10.12260705	0.951137115	1.65E-11	8.53E-09
Basp1	3.826887663	3.842278878	4.891286684	2.47E-11	1.24E-08
Hal	4.452013728	4.46345584	4.658125487	2.53E-11	1.24E-08
Serpinb2	9.429522042	144269486.2	2.961436024	3.19E-11	1.53E-08
