gene_symbol,MIP56_Myo_1,MIP56_Myo_2,MIP56_Myo_3,MIP56_Myo_4,DS_value,p_value
Gata4,3.56617165777637,3.31720882158279,3.06416433624748,3.47873014201765,3.35656873940607,0
Nkx2-5,1.80529887774046,1.64651304653727,1.57136089690776,1.77191297984992,1.69877145025885,0
Tbx5,1.44857356820097,1.487434894001,1.33381136625493,1.52506802963875,1.44872196452391,0
Metap1d,0.994646663288245,1.04131334364226,1.00079491955044,0.906099607031108,0.985713633378013,0
Ntng2,0.848694338628089,0.885017196424157,0.742870094331908,0.778934555430631,0.813879046203696,0
Btnl9,0.584444915712239,0.768858549467177,0.928077019678094,0.548782951480588,0.707540859084524,0
Sox17,0.636813512118898,0.640160735227979,0.739034503843723,0.749173515992625,0.691295566795806,0
Cdh22,0.825661198817069,0.47222507033228,0.162946610669354,0.959280875601252,0.605028438854989,0
Hoxd8,0.345375006951772,0.216563657615082,0.552880706680169,0.419092577583599,0.383477987207655,0
Irx4,1.13867529522287,1.08853645688201,1.04563035343734,1.14032371182491,1.10329145434178,0.000734214390602062
Ntn1,1.11647261389417,1.1092215674199,0.998855543578475,1.07602149224465,1.0751428042843,0.000734214390602062
Rnf220,1.15853027851041,1.05207766281322,0.968195414268525,1.08135310975134,1.06503911633588,0.000734214390602062
Prdm16,0.634542487304032,0.700325445554101,0.665735219019897,0.707627607272091,0.67705768978753,0.000734214390602062
Gata2,0.535659886425234,0.716738179756112,0.637868348086472,0.620570093989292,0.627709127064278,0.000734214390602062
Alx4,0.720737816437895,0.554521286631591,0.51992136057173,0.522077250794756,0.579314428608993,0.000734214390602062
Syt7,0.552364464225426,0.547276711048377,0.468545495950049,0.537860627056878,0.526511824570182,0.000734214390602062
Meis2,0.34860930814595,0.346911124001656,0.399663960973159,0.372534314086971,0.366929676801934,0.000734214390602062
Lmx1b,0.137812239367803,0.0483054931834824,0.0320235543320033,0.0997140557874646,0.0794638356676884,0.000734214390602062
C1qa,0.720611035155693,0.585963756966866,0.699302250036203,0.729139200694894,0.683754060713414,0.00146842878120412
Tbx3,0.604961344438322,0.681848838938978,0.646234787888696,0.637146642233206,0.6425479033748,0.00146842878120412
Pde2a,0.63298109306069,0.655871271319808,0.577817826103052,0.629462351469719,0.624033135488317,0.00146842878120412
Slc6a17,0.68785300801284,0.593930724024224,0.424376701988255,0.608362425613814,0.578630714909783,0.00146842878120412
Irx1,0.571286234311235,0.544750701617886,0.437568882744272,0.579660768694686,0.53331664684202,0.00146842878120412
Ebf3,0.424831621345946,0.478315223123888,0.506470936067529,0.406594966310732,0.454053186712024,0.00146842878120412
Msx1,0.492801826229874,0.493888195152281,0.423185321555878,0.336214296334014,0.436522409818012,0.00146842878120412
Rspo1,0.214502652971036,0.10554824333301,0.132012555088693,0.16431753332859,0.154095246180332,0.00146842878120412
Scn4b,0.962110748116707,1.18637512139078,1.02170696934089,1.12815397909356,1.07458670448548,0.00220264317180618
Hand2,1.01679754798086,0.927419996457764,0.898874436609261,1.02735525856193,0.967611809902454,0.00220264317180618
Mafb,0.438265146197089,0.402923268195825,0.48025021918402,0.462845075613106,0.44607092729751,0.00220264317180618
Wt1,0.381146083207312,0.371819349736313,0.474092995625813,0.422460172424688,0.412379650248531,0.00220264317180618
Plxna4,0.330521508546609,0.309151923935417,0.307215683511696,0.339814284152657,0.321675850036595,0.00220264317180618
Bcor,0.302758066724722,0.301387363052348,0.302313109060429,0.312205290559366,0.304665957349216,0.00220264317180618
Tbx15,0.161516908805265,0.0274653615073505,0.0678114519608347,0.168151389095579,0.106236277842257,0.00220264317180618
Tbx20,0.843216969223606,0.879682094881363,0.962164911214973,0.928462854139644,0.903381707364896,0.00293685756240825
Nfix,0.712888849294913,0.706546706235856,0.624016091479471,0.733826730030699,0.694319594260235,0.00293685756240825
Nav2,0.700321606490661,0.678821525380893,0.657060522237486,0.736263764280416,0.693116854597364,0.00293685756240825
Cbx8,0.589793846886237,0.525719578408693,0.40214840497469,0.554009143455833,0.517917743431363,0.00293685756240825
Irx2,0.513570300971493,0.510513578191132,0.455270654862537,0.463178341091595,0.485633218779189,0.00293685756240825
Slc26a10,0.38021201135353,0.563052096802127,0.470423978932308,0.507966288482868,0.480413593892708,0.00293685756240825
Ebf2,0.387480310045958,0.329728572532728,0.456864137885585,0.337800790278383,0.377968452685664,0.00293685756240825
Thbd,0.308586018118122,0.337848763845314,0.293036380012751,0.332598258104301,0.318017355020122,0.00293685756240825
Cux2,0.289439360777339,0.301122955594013,0.304360786271307,0.29864991251747,0.298393253790032,0.00293685756240825
Ppie,0.322862974078468,0.303550903641144,0.261254905432379,0.29158882800553,0.29481440278938,0.00293685756240825
Bub3,0.310957526743756,0.281597470377696,0.256942940083634,0.299307470044642,0.287201351812432,0.00293685756240825
Six1,0.124544731255095,0.142360371832202,0.198549473974074,0.399787104470264,0.216310420382909,0.00293685756240825
Grm4,0.175714407605905,0.192877609563475,0.16341357590284,0.222285536199424,0.188572782317911,0.00293685756240825
Robo3,0.0907847773327077,0.166857465853777,0.137231783009407,0.0783108343481457,0.118296215136009,0.00293685756240825
Bcan,0.0865889240484546,0.0657525472845501,0.0834633840393696,0.0485830061921939,0.071096965391142,0.00293685756240825
Ank1,0.685354452714509,0.754204832589284,0.71762320554543,0.690282132320666,0.711866155792472,0.00367107195301031
Tnni3,0.699989525923562,0.696204978900281,0.631708749702286,0.69092306070193,0.679706578807015,0.00367107195301031
Hcn4,0.417611570119985,0.439085120862552,0.344597474089229,0.521616363899448,0.430727632242804,0.00367107195301031
Foxc1,0.293611310456192,0.348843044018653,0.49121286324434,0.351997889506247,0.371416276806358,0.00367107195301031
Slc17a7,0.290470134991868,0.299673453197189,0.249347791745545,0.321749498081056,0.290310219503915,0.00367107195301031
Gdf6,0.352701807579918,0.151593138129479,0.324537877170705,0.320561240364835,0.287348515811234,0.00367107195301031
Pdgfb,0.286227701602085,0.284781259626132,0.279178797976512,0.292350185365846,0.285634486142644,0.00367107195301031
Exoc6,0.262812619188336,0.291966904477615,0.297391857503275,0.281207909778127,0.283344822736838,0.00367107195301031
Dbh,0.303863795401866,0.308852675943368,0.209830793186942,0.296577995701468,0.279781315058411,0.00367107195301031
Meis1,0.258548933117813,0.253813152785376,0.264281613922959,0.240131983444145,0.254193920817573,0.00367107195301031
Gata3,0,0.104468823314796,0.0848103910340048,0.0919136062045108,0.0702982051383278,0.00367107195301031
Gata6,0.669635006762999,0.660243175103969,0.65951667207267,0.676495331180505,0.666472546280036,0.00440528634361237
Cacna1c,0.491980889958287,0.493872419704388,0.486511376129726,0.504300962635566,0.494166412106992,0.00440528634361237
Sfrp1,0.519217108396507,0.412025034270801,0.510401693307999,0.469876767471528,0.477880150861709,0.00440528634361237
Kcnh2,0.401551395786456,0.389796046087123,0.349329092232039,0.421787584044791,0.390616029537602,0.00440528634361237
Irx5,0.408447426225215,0.338082624187826,0.356175345794068,0.397556424020157,0.375065455056816,0.00440528634361237
Shank1,0.396006628273529,0.306834597782162,0.299195058409103,0.467255263250353,0.367322886928787,0.00440528634361237
Nrn1,0.131599963461215,0.25280687650374,0.255445220323201,0.198237793777474,0.209522463516408,0.00440528634361237
Syt2,0.133595083609661,0.175997072690482,0.236310621560762,0.201243176196637,0.186786488514386,0.00440528634361237
Tmem132e,0.101352096229909,0,0.0921957110730349,0.0678886032043733,0.0653591026268292,0.00440528634361237
Gnas,0.343373211999528,0.439652460961905,0.420104364076914,0.300709380778097,0.375959854454111,0.00513950073421443
Lhx6,0.340462391292221,0.359820456998705,0.388595997055699,0.287324007333895,0.34405071317013,0.00513950073421443
Ptprn2,0.216133513541353,0.241894628293566,0.483497659428471,0.250966036532935,0.298122959449081,0.00513950073421443
Adora1,0.248879630232143,0.188779534366412,0.207490758191701,0.238166621542268,0.220829136083131,0.00513950073421443
Blk,0.394329886270634,0.347657590671435,0.350695817915731,0.34817516460434,0.360214614865535,0.00587371512481649
Gja3,0.336323870426953,0.37750940962101,0.340274222742119,0.346604384252901,0.350177971760746,0.00587371512481649
Inhbb,0.370850251208173,0.227430425809473,0.324909323515483,0.39046084327742,0.328412710952637,0.00587371512481649
Tbx2,0.30994905839652,0.323306289560063,0.346667920930236,0.324332862947504,0.326064032958581,0.00587371512481649
Slc12a5,0.298106186145226,0.374822354346861,0.184606566213965,0.378174397293188,0.30892737599981,0.00587371512481649
Shtn1,0.20423443412238,0.269277712845722,0.457260520117642,0.226942408789701,0.289428768968861,0.00587371512481649
Smug1,0.248680416442991,0.244595279164396,0.219987427798836,0.234538461090545,0.236950396124192,0.00587371512481649
Bcl11b,0.195391196007615,0.14682328925633,0.30261291418209,0.213250921343576,0.214519580197403,0.00587371512481649
Nt5c1a,0.195253560623977,0.203528175649446,0.172264875722774,0.209768933510268,0.195203886376616,0.00587371512481649
Lmo2,0.177781777062862,0.189276137281357,0.193416820996865,0.188897749620647,0.187343121240433,0.00587371512481649
Esrrb,0.155318586306885,0.146605074913801,0.127981661689995,0.148933807420709,0.144709782582848,0.00587371512481649
Dpysl2,0.133629497567517,0.133620366268215,0.135731141254208,0.133143485864625,0.134031122738641,0.00587371512481649
Six2,0.0606744697159406,0.0212674157006661,0.0754199405439679,0.0634705476096708,0.0552080933925614,0.00587371512481649
Eef1a2,0.361655756416257,0.354132042603602,0.322071743011254,0.358860999721916,0.349180135438257,0.00660792951541855
Dok7,0.351354992248052,0.339651099086894,0.324589869867996,0.346865090235758,0.340615262859675,0.00660792951541855
Fli1,0.219506581594089,0.258735140179178,0.296070967174432,0.250263128225994,0.256143954293423,0.00660792951541855
Kcnb1,0.158698882960959,0.155804064692302,0.150773862503138,0.161624348400875,0.156725289639318,0.00660792951541855
Bmi1,0.122519798366582,0.156653079915346,0.182281139243781,0.152741945684597,0.153548990802576,0.00660792951541855
C1qc,0.101397782238908,0.0809431563004081,0.105878307215268,0.0998377451799327,0.0970142477336294,0.00660792951541855
Srcin1,0.0298305430018949,0.0562375091616867,0.0377283716854774,0.0870502766975199,0.0527116751366447,0.00660792951541855
Pax5,0.116799184127373,0,0,0.0439435755102369,0.0401856899094026,0.00660792951541855
Spr,0.405514794860896,0.403849997493375,0.343691032934871,0.385539851629325,0.384648919229616,0.0073421439060205
Lrrc4b,0.35223950904668,0.332142015034581,0.289499990944717,0.351951803080985,0.331458329526741,0.0073421439060205
Nr2f2,0.281025908972096,0.29749759596277,0.34269136473772,0.247466538784007,0.292170352114148,0.0073421439060205
Fam172a,0.198457959587182,0.256566540491148,0.359997054443582,0.249970352778757,0.266247976825167,0.0073421439060205
Trim63,0.249771462324892,0.254759454793229,0.241016403129879,0.247959230641375,0.248376637722344,0.0073421439060205
Kcnd3,0.189287231329514,0.209345961421369,0.245812062729448,0.203217132642595,0.211915597030731,0.0073421439060205
Car4,0.185282019357602,0.251989915517598,0.18005239492762,0.196939731068784,0.203566015217901,0.0073421439060205
Ngfr,0.178690272514109,0.180811540734846,0.145005701182493,0.17425250345831,0.16969000447244,0.0073421439060205
Mt2,0.11316164323051,0.109578538311897,0.104321713867689,0.113035359183445,0.110024313648385,0.0073421439060205
Crmp1,0.140983202369394,0.0489179681193912,0.116830559509834,0.101022227971176,0.101938489492449,0.0073421439060205
Frmd4a,0.0859586132593098,0.0824330104422559,0.0892891761313181,0.0837683989624667,0.0853622996988376,0.0073421439060205
Gata5,0.0593046383815773,0.0161194731263617,0.0653314373009299,0.109620768625574,0.0625940793586108,0.0073421439060205
Prkag1,0.332142574497614,0.31722969983104,0.288177458652673,0.318232615856017,0.313945587209336,0.00807635829662257
Tbx18,0.292101697988169,0.247349667161024,0.303524571291035,0.245934630220812,0.27222764166526,0.00807635829662257
Kcnk3,0.256772391632728,0.243831648824391,0.219000067292003,0.256476375470959,0.244020120805021,0.00807635829662257
Rgma,0.177822789892196,0.162928857744729,0.168978035209423,0.20335272174915,0.178270601148874,0.00807635829662257
Kcnc1,0.146336742526023,0.103901962377277,0.141275093192549,0.129391767002766,0.130226391274654,0.00807635829662257
Comp,0.154586222474439,0.133888990946005,0.103671211291485,0.124497379558336,0.129160951067566,0.00807635829662257
Ddn,0.110948571263283,0.169070160177451,0.124169371190518,0.0765149136106926,0.120175754060486,0.00807635829662257
Sox18,0.0936467284883768,0.112411375801933,0.0992042586364044,0.103306395726737,0.102142189663363,0.00807635829662257
Galnt9,0.080776092148001,0.0349544841635063,0.0642925893090023,0.0374239230827026,0.054361772175803,0.00807635829662257
Igf2,0.277122686995162,0.299683478283227,0.310201395218991,0.30679099896308,0.298449639865115,0.00881057268722463
Kcnj5,0.249769128402981,0.250334294616397,0.2456486042915,0.267521221889135,0.253318312300003,0.00881057268722463
Tal1,0.207888670655136,0.225912537110327,0.237717235095955,0.209151068961477,0.220167377955724,0.00881057268722463
