,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10,Cluster11,Cluster13
AL627309.1,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.2,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00115,0.00835088184843104,0.0166750044478456,0.0191619255301281,0,0,0,0.0201037078965673,0.101025983253153,0.00622711365556623,0,0,0,0
NOC2L,0.030252603691043,0.250301071198329,0.140032140163261,0.137273376371591,0.152914466593952,0.152098496777818,0.121941915709667,0.341147598355429,0.121517196269394,0.663055813403503,0,0.175903489071821,0
KLHL17,0.00130816341271352,0,0,0,0,0.0795988088244672,0,0,0,0,0,0,0
PLEKHN1,0.0203783204456274,0,0.010357967891978,0,0,0.0767650302577731,0.0119196267205032,0,0.017070288744908,0,0,0,0
HES4,0.647395799890549,0,0.0882306228204611,0.605386255114806,0.0434180792082954,0,0.232533176392613,0.237441656459592,0.738948131534669,0.392256857348594,0,0.0793463635556261,1.89697833179407
ISG15,3.85821376443244,1.10375702495086,1.63732846446869,2.93437003274101,2.24311335685299,2.01310421362256,1.64842680959576,1.95364589450495,2.86107636237338,2.14604137379936,0,2.94440575593889,5.57767522863856
AGRN,0.00918851782984707,0,0,0,0,0,0.01158713091492,0,0.0602239238402956,0,0,0.022634492593412,0
C1orf159,0,0.0239136270118465,0,0.0119502889506385,0,0,0.0134558778583175,0.0258363519161877,0.00636135502991781,0,0,0.0207362032737242,0
TNFRSF18,0.0166017413914401,0.0258116197023657,0.289598583250126,0.021815691833541,0.0497082148193609,0.0723368253990103,1.2090844884771,0.0300852430861461,0.137716632167176,0.655557109391236,0,0.0822248692101744,0
TNFRSF4,0.0116348319555297,0.0264605435837152,0.783956719860841,0.0503731881109667,0,0,0.276503276086851,0.207057872438472,0.289584986925307,0.16042869565468,0,1.20169049832749,0
SDF4,0.153268351274471,0.0754738736220365,0.210900159099075,0.157519730523076,0.0869340454480959,0.139199086803134,0.319249507472195,0.154595115157972,0.386875867151821,0.243576081853883,0,0.58364005287114,0
B3GALT6,0.00750926535814955,0.0575438630995364,0.00997678471651704,0,0.0294582205249473,0.0747080487990324,0.0264332989250208,0.0470770141983643,0.0458869972334558,0.110008065805082,0,0,0
UBE2J2,0.136931811042486,0.144932912995735,0.162692921814906,0.26985446366249,0.178576561106323,0.120231505838368,0.205372049294835,0.224419999270559,0.297084075367012,0.157172708171483,0,0.385981107578059,0
ACAP3,0.00408287022699445,0.0259180542180493,0,0,0.0126242255832689,0,0.00852562449784243,0.0300106017741555,0.00731026333204989,0,0,0,0
PUSL1,0.0197596393096365,0.0217935782828438,0.0191386689955735,0.0340425970201936,0.0310618997752238,0,0.0397166840790406,0.0228052799344162,0.0304951261647811,0.0653571627191437,0,0.0314604299005112,0
CPSF3L,0.071751297339347,0.0806160507884181,0.0586168220311594,0.0781225830922981,0.127787974385695,0.156518718289875,0.0843353586215693,0.0723234578764499,0.17502833445924,0.159805288718821,0,0.210691648853723,0
GLTPD1,0.0343999206791735,0.0266583806667079,0.0398911643537076,0.0240764475223893,0.0741444967867931,0.08002392351794,0.0494332382564152,0.0217889793049786,0.0189153862993883,0.0341590557041171,0,0.057406910844005,0
DVL1,0.00510621729990505,0,0,0,0.0132120588406955,0.078658287912529,0.00852562449784243,0,0.0169625218594801,0,0,0,0
AURKAIP1,0.600551462521084,0.479924623416238,0.479926179754324,0.561146757480304,0.57343455766911,0.384426409157126,0.44806390599005,0.357045771573767,0.693105522664681,0.937036262921213,0,0.825518808604327,0
CCNL2,0.0605035129677065,0.109087576221063,0.0977753813121352,0.174770425710295,0.0962552994262846,0.0795988088244672,0.107568593311673,0.115607750398656,0.0960050801741495,0.136864447859011,0,0.047533982504215,0
RP4-758J18.2,0.0174390026347085,0.0549534749368849,0.0798678557631427,0.087406695529577,0.0703998584614416,0,0.0672767969283651,0.0490843119814935,0.0459270622508482,0.117013334718957,0,0.12288967410535,0
MRPL20,0.268134803274596,0.405560942148689,0.299306153304169,0.276847672970085,0.273452628647062,0.463373102436369,0.454028378743063,0.3600100385326,0.422660905209185,0.894139019040809,0,0.647157292825589,0
ATAD3C,0,0,0,0,0.0106191427847711,0,0.0125193794277403,0,0,0,0,0,0
ATAD3B,0.00916895402200906,0,0.00904153629051963,0.00914569723888926,0.0272306579327768,0,0.0271103179046597,0.0222174897829999,0.0068233385015129,0.233129483575596,0,0.0823756547892521,0
ATAD3A,0,0.0258116197023657,0,0,0.0137678636395808,0,0.0375127066373297,0.0425716622323608,0.0134322188882419,0.246710269412427,0,0.0157200677408231,0
SSU72,0.353936608141952,0.595814877904219,0.342517649672944,0.477477757584748,0.34017409262649,0.547039771187864,0.4100123188632,0.309406291352508,0.665265934693225,0.713360952125303,2.11168655381106,0.572775351998312,0
AL645728.1,0.0056989427284218,0,0,0,0,0,0,0.0280395073370816,0,0,0,0,0
RP11-345P4.9,0.0112929908042077,0,0.0103064160994232,0,0,0.078658287912529,0,0.0822969364540496,0,0,0,0.0192027005319271,0
MIB2,0.00700454323210988,0.108447615116954,0.0779286885703304,0.0484007305335378,0.0288751800396848,0.161603353089279,0.105946698972512,0.0555112215563765,0.0175261661797586,0.0392790068866196,0,0.0855672211136457,0
MMP23B,0,0,0,0,0,0,0.0133958193843157,0,0,0,0,0,0
CDK11B,0.0327576497564136,0.0784515119914722,0.0105973069515985,0.0319961419789407,0.0234740773131571,0,0,0.0546897818235199,0.0306928802223241,0.0541727823538512,0,0.0400942272258621,0
SLC35E2B,0.00974349845551362,0.0166750044478456,0.0290664863921052,0,0.0112046118242329,0.0815791556040603,0.0111226531363227,0,0,0,0,0.0600195863597251,0
CDK11A,0.0836679158073708,0.107886374677338,0.080676508946132,0.0732896635879004,0.0265942774036175,0.135731340790526,0.0973955051505425,0.0718157046646316,0.0782610389111306,0.181192386772515,0,0.0982904596118604,0
SLC35E2,0,0,0.0100144420765678,0,0,0.0747080487990324,0,0,0,0,0,0,0
NADK,0.36012215986177,0.0231459730364566,0.0299255553604331,0.185380553399604,0.0255484304049224,0.0570730528779969,0.0725527597231447,0.0188948573691796,0.114304808176623,0.0541443772089962,0,0.184928126790434,0
GNB1,0.308760600824673,0.0262149572526982,0.0375219972123428,0.117983921635103,0.0533609100906261,0.0795988088244672,0.0181734176786184,0.160966733399596,0.327051220748567,0.0409262662839836,0,0.286969100834292,1.34361157123749
PRKCZ,0.00105395599051866,0,0.0306831514479639,0,0.0135170938157678,0,0.0532777504522128,0,0.013611240637393,0.0231802807269071,0,0,0
RP5-892K4.1,0.00109741959301726,0,0,0,0,0,0,0,0,0,0,0,0
C1orf86,0.124016136090947,0.151046030224996,0.160993520100249,0.153696191366175,0.196730833387173,0.0815791556040603,0.100034135494659,0.0539484508826956,0.214548484561525,0.138095830978739,0,0.413951635815459,0
AL590822.2,0,0,0,0,0,0,0,0,0,0,0,0,0
SKI,0.0303862847749151,0,0.0101460917998314,0.0241421281361268,0,0.222795186606214,0.0353233924246788,0.0917139208614897,0.0366445132926373,0.017829612132835,0,0,0
MORN1,0.00156078380576031,0,0,0.0110834814101094,0,0,0.00940944204257435,0.0226067770838513,0,0,0,0,0
RER1,0.648871023944003,0.408857365265446,0.434967290695466,0.619333572433977,0.499779651202335,0.215129540444662,0.404501394252946,0.16316268744591,0.756644510311895,0.513866771716656,2.11168655381106,1.12952172067457,0
PEX10,0.00994101253704269,0,0.0199031339642131,0.0279011077035036,0,0,0,0,0.00794342373305672,0.077674875367874,0,0.0608091069511404,0
PANK4,0.0202041486151145,0.028270961909884,0.0392287105047227,0.0454742007641585,0.0138763398789776,0.135799713645764,0.0351532073285142,0.023351129269444,0.00763159505528448,0.070928040540986,0,0.0207966852691576,0
RP3-395M20.12,0.011109087382017,0.0551112086825149,0,0.0319810230584476,0,0,0,0.181079561564006,0.00647709345749951,0.0355170788824565,0,0.0436140506376656,0
TNFRSF14,0.185835455518451,0.0787822641481436,0.136191116611046,0.326057078172899,0.109861499692343,0.227599345899038,0.17813182269259,0.0737817932109782,0.0671242787944034,0.0612989567068743,0,0.110171232544727,0
RP3-395M20.9,0,0,0.0298725199236457,0,0.0255881900174325,0,0,0,0,0,0,0,0
FAM213B,0.00133514318306556,0,0.0098812574585294,0.0124461785630504,0.0429775319650673,0,0.00901946651132141,0,0.0186255419263013,0.0574165164892295,0,0,0
MMEL1,0,0,0,0,0,0,0,0,0,0,0,0,0
TTC34,0,0.0263332738380487,0,0,0,0,0,0,0,0,0,0,0
MEGF6,0,0,0,0,0,0,0,0,0,0,0,0,0
TPRG1L,0.0188805241249172,0.0273583968815117,0.0616961656991721,0.00995888648279311,0.013513441161286,0,0.0133316133731433,0,0.0142311778525797,0,0,0.0212965764967841,0
WRAP73,0.0224932494955075,0.0272274649804768,0.0782084575262986,0.0665542528448802,0.175441281927079,0,0.0637580296158723,0.0711271313601916,0.0665317117906652,0.132288212629705,0,0.0538473352786886,0
TP73-AS1,0.0029413044709036,0,0.00899616803962023,0,0.0152276870209875,0,0,0,0,0,0,0,0
SMIM1,0.00122339571507062,0,0.0100844985009248,0.012483160151803,0,0,0,0,0.00572791866808765,0.0183108938369746,0,0,0
LRRC47,0.0233027901677614,0.0840487879675546,0.0700474255932352,0.0297008367121348,0.0545280354007104,0,0.137590792147603,0.137363048551748,0.0498219242846957,0.0361880235690916,0,0.0585608508251806,0
CEP104,0.0285073585465525,0.0883062261482897,0.0585854968116941,0.046401529063485,0.0264828413482825,0,0.1182218337126,0,0.0437523852453327,0.0371201183939813,0,0.0775511077873049,0
DFFB,0,0,0.019101296113825,0,0.0394394074398726,0,0.0116239755584228,0,0,0.0201092220882229,0,0,0
C1orf174,0.0618858837486139,0.16424585370873,0.0825854302645576,0.0646232804965427,0.0642861171217555,0.155896243144956,0.11984420221803,0.314322621404699,0.116541249825545,0.177721202215119,0,0.0825854765856035,0
LINC01134,0,0,0,0.0103180065646807,0,0,0,0,0,0,0,0,0
NPHP4,0,0,0,0,0,0,0.0111951438059205,0,0.0113649815325198,0.0198988490427954,0,0,0
KCNAB2,0.051955610602286,0.0256159675062797,0.0474906775034851,0.0333271463081156,0,0.0782531475422579,0.0460754515988436,0,0.0186356261068209,0.0217432986797337,0,0.0157200677408231,0
RPL22,0.438991107843601,1.43463103188886,1.1062124547597,0.354629693231319,0.994797588849958,1.19434303149585,0.423986509414689,0.521912607651126,1.00594116535012,0.801302166404211,0,0.507113088929048,1.34361157123749
RNF207,0,0,0.0192171659417569,0,0,0,0,0,0.0136581177756315,0,0,0,0
ICMT,0.00435647214523286,0.0521549177411152,0.023967651376907,0.0243212647847136,0.0132120588406955,0.0820045442648114,0.0363611126237093,0,0.0102924173307778,0.0568515846452619,0,0.0818978763463751,0
GPR153,0,0,0,0,0,0,0,0,0,0,0,0.0179355095506531,0
ACOT7,0.00243657485290079,0,0.019919478389123,0.01146710115342,0.0143254951006691,0,0.0397530536349481,0,0.0371825211599369,0,0,0.160955349188962,0
RP1-202O8.3,0,0,0,0,0,0,0,0,0.0046598045102179,0,0,0,0
ESPN,0,0,0.00951694267513333,0,0,0,0,0,0,0,0,0,0
TNFRSF25,0.0101640779792469,0.263703391520554,0.276858226697614,0.0246932987370481,0,0.103492517676418,0.142295074706665,0.319509900664644,0.0366937905590959,0.0523238923464766,0,0.0181831539862616,0
NOL9,0.00862653502840618,0.0249863611311047,0,0,0.0402469947292229,0,0.0341366490662384,0.0402041049018858,0.0112667710499417,0.0367240850886802,0,0.0196854519907094,0
ZBTB48,0.0294000090087527,0,0.0208439771576028,0.0495129898237276,0.0263411151875262,0,0.058716682915316,0.0409811120131588,0.00721100986573459,0,0,0.03792546839447,0
KLHL21,0.00391142248698872,0,0.0554810422797915,0.00995888648279311,0.0180077552230678,0,0,0.0263035626027216,0.0122716517218616,0.0337950798497354,0,0.0157200677408231,0
PHF13,0.00808594788711725,0,0.0179710672077978,0,0.0411705266945074,0,0,0,0.0130664335639511,0.0219003759052648,0,0,0
