,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10,Cluster11,Cluster13
AL627309.1,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.2,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00115,0,0,0,0,0,0,0,0,0,0,0,0,0
NOC2L,4.47738534627437e-07,3.70445585373527e-06,2.07247567441626e-06,2.03164597029954e-06,2.26313410559049e-06,2.25105775231171e-06,1.80474035250307e-06,5.04898445566034e-06,1.79845450478704e-06,9.81322603837184e-06,0,2.60337163826295e-06,0
KLHL17,1.93608185081601e-08,0,0,0,0,1.17806237060212e-06,0,0,0,0,0,0,0
PLEKHN1,2.03171854842906e-06,0,1.0326893988302e-06,0,0,7.65347351669998e-06,1.18838678403417e-06,0,1.70190778786733e-06,0,0,0,0
HES4,0.0134995315312951,0,0.00183978962327526,0.0126235462771254,0.000905356088809574,0,0.00484879411839712,0.00495114600490321,0.0154085856030119,0.00817936077904632,0,0.00165453457821918,0.0395558927144215
ISG15,3.57270594586443e-05,1.0220790051045e-05,1.51616615809801e-05,2.71722665031818e-05,2.07712296844587e-05,1.86413450181449e-05,1.52644322568568e-05,1.80907609831158e-05,2.64935671155775e-05,1.9872343121382e-05,0,2.72651972999942e-05,5.16492726171931e-05
AGRN,1.62315902545675e-05,0,0,0,0,0,2.04687594582535e-05,0,0.000106386043255273,0,0,3.9984012242203e-05,0
C1orf159,0,5.67183405466975e-06,0,2.83436953331244e-06,0,0,3.19146511043574e-06,6.12786594748139e-06,1.50878618599591e-06,0,0,4.91821269246192e-06,0
TNFRSF18,1.19698555432283e-06,1.86101778054057e-06,2.08800578523341e-05,1.57291138119831e-06,3.58396228847592e-06,5.21548511126865e-06,8.71749916191987e-05,2.16914602651113e-06,9.92936917925342e-06,4.72656675871081e-05,0,5.92841307005357e-06,0
TNFRSF4,5.10769122847756e-08,1.1616178633251e-07,3.44157000018909e-06,2.21138295807144e-07,0,0,1.21384938202128e-06,9.08984060004894e-07,1.2712780926021e-06,7.04281973924045e-07,0,5.2754212876577e-06,0
SDF4,1.88520072067599e-07,9.28328645551049e-08,2.59407195691862e-07,1.93749268543384e-07,1.06928875901158e-07,1.71214876767855e-07,3.926768941908e-07,1.90151991644306e-07,4.7585731659674e-07,2.99598580680276e-07,0,7.17877265031502e-07,0
B3GALT6,1.47181601019731e-08,1.12785971675091e-07,1.95544980443734e-08,0,5.77381122288966e-08,1.46427775646104e-07,5.18092658930407e-08,9.2270947828794e-08,8.99385145775734e-08,2.15615808977962e-07,0,0,0
UBE2J2,5.39511335507393e-08,5.71035677203194e-08,6.41010111950728e-08,1.06322658683021e-07,7.03591650758914e-08,4.7371213300317e-08,8.0916587422165e-08,8.84214797126003e-08,1.17051125694603e-07,6.19260470195644e-08,0,1.52076556385755e-07,0
ACAP3,8.65568488122823e-09,5.49462749422646e-08,0,0,2.67633582365301e-08,0,1.8074323935426e-08,6.36224757612096e-08,1.54977582639458e-08,0,0,0,0
PUSL1,4.18904353364295e-08,4.62023859596288e-08,4.05739782706159e-08,7.21703056828105e-08,6.58512275234744e-08,0,8.41993702475661e-08,4.83471934609624e-08,6.46496674693359e-08,1.38557184964585e-07,0,6.66961113890838e-08,0
CPSF3L,2.51847053661108e-09,2.82962338267347e-09,2.0574504532937e-09,2.74210266653966e-09,4.4853579009379e-09,5.49380701197462e-09,2.96017108761708e-09,2.53855337146339e-09,6.14349453951931e-09,5.60916563403062e-09,0,7.39527687476568e-09,0
GLTPD1,0,0,0,0,0,0,0,0,0,0,0,0,0
DVL1,7.50613943086043e-10,0,0,0,1.94217264958224e-09,1.15627683231418e-08,1.25326680118284e-09,0,2.49349071334357e-09,0,0,0,0
AURKAIP1,3.12887311973485e-08,2.5004072879986e-08,2.50041539652003e-08,2.92357460647238e-08,2.98759404545606e-08,2.00286159170863e-08,2.33441295020816e-08,1.86020846989933e-08,3.61107977308299e-08,4.88195892981952e-08,0,4.30095299282855e-08,0
CCNL2,6.4738758875446e-09,1.16723706556538e-08,1.04619658003985e-08,1.87004355510016e-08,1.02993170386125e-08,8.51707254421799e-09,1.1509839484349e-08,1.23700292926562e-08,1.0272543578634e-08,1.46444959209142e-08,0,5.08613612795101e-09,0
RP4-758J18.2,0,0,0,0,0,0,0,0,0,0,0,0,0
MRPL20,1.16638639424449e-08,1.7641900983468e-08,1.30198176687313e-08,1.20428737741987e-08,1.18951893461472e-08,2.0156729955982e-08,1.97502344753232e-08,1.56604366761681e-08,1.83857493765996e-08,3.88950473282752e-08,0,2.81513422379131e-08,0
ATAD3C,0,0,0,0,1.0066947359963e-07,0,1.18683716974978e-07,0,0,0,0,0,0
ATAD3B,2.72317934453669e-16,0,2.68533627828433e-16,2.71627207995011e-16,8.0875054060347e-16,0,8.05176441768392e-16,6.59859446555096e-16,2.02653153494933e-16,6.92394566219522e-15,0,2.44655694724079e-15,0
ATAD3A,0,7.66605105160262e-16,0,0,4.08905550095548e-16,0,1.11412738712869e-15,1.26437836830112e-15,3.98936900980785e-16,7.32729500154908e-15,0,4.66886011902447e-16,0
SSU72,3.68094072467631e-06,6.19647473020388e-06,3.56218355659862e-06,4.96576867888138e-06,3.5378105633155e-06,5.68921362035378e-06,4.26412811617728e-06,3.21782543006608e-06,6.91876572080954e-06,7.41895390210315e-06,2.1961540159635e-05,5.95686366078245e-06,0
AL645728.1,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-345P4.9,0,0,0,0,0,0,0,0,0,0,0,0,0
MIB2,1.24680869531556e-07,1.93036754908178e-06,1.38713065655188e-06,8.61533003496972e-07,5.13978204706389e-07,2.87653968498916e-06,1.88585124171072e-06,9.88099743703501e-07,3.11965757999703e-07,6.99166322581828e-07,0,1.52309653582289e-06,0
MMP23B,0,0,0,0,0,0,4.48759949374574e-07,0,0,0,0,0,0
CDK11B,9.72902197765484e-16,2.33000990614672e-15,3.14740016462475e-16,9.5028541677454e-16,6.97180096200765e-16,0,0,1.62428652015854e-15,9.11578542603026e-16,1.60893163590938e-15,0,1.19079854860811e-15,0
SLC35E2B,0,0,0,0,0,0,0,0,0,0,0,0,0
CDK11A,2.48493709947891e-15,3.20422532791695e-15,2.39609231570012e-15,2.17670300856064e-15,7.89850038887439e-16,4.03122082147862e-15,2.89264650297111e-15,2.13292642853956e-15,2.32435285566058e-15,5.3814138871437e-15,0,2.91922665047225e-15,0
SLC35E2,0,0,0,0,0,0,0,0,0,0,0,0,0
NADK,3.99735597446565e-06,2.56920300704668e-07,3.32173664500808e-07,2.0577241427356e-06,2.83587577494639e-07,6.33510886945766e-07,8.05335632926906e-07,2.09732916797894e-07,1.26878337076052e-06,6.01002587019858e-07,0,2.05270220737382e-06,0
GNB1,8.5835447029259e-08,7.28775811625009e-09,1.04311152250313e-08,3.27995302145585e-08,1.48343330051941e-08,2.21284688532019e-08,5.0522101146559e-09,4.47487518850877e-08,9.09202393681017e-08,1.13775020269474e-08,0,7.97774100319333e-08,3.73524016804022e-07
PRKCZ,1.30015083509111e-05,0,0.000378504656144756,0,0.000166745679807056,0,0.000657229641136458,0,0.000167907066713704,0.000285949903182422,0,0,0
RP5-892K4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf86,0,0,0,0,0,0,0,0,0,0,0,0,0
AL590822.2,0,0,0,0,0,0,0,0,0,0,0,0,0
SKI,1.12429253667186e-07,0,3.75405396593763e-08,8.93258741036692e-08,0,8.24342190442992e-07,1.30696551971311e-07,3.39341507187512e-07,1.35584699182758e-07,6.59695648914895e-08,0,0,0
MORN1,1.49748465773389e-06,0,0,1.0633979738041e-05,0,0,9.02783271109571e-06,2.16899366324386e-05,0,0,0,0,0
RER1,2.62792764697321e-08,1.65587232932506e-08,1.76161752731664e-08,2.50830096835761e-08,2.02410758736946e-08,8.71274638800883e-09,1.63823064672443e-08,6.60808884155934e-09,3.06441026676317e-08,2.08116042545246e-08,8.55233054293479e-08,4.57456296873199e-08,0
PEX10,1.41809339121917e-05,0,2.83919798250216e-05,3.98011533479096e-05,0,0,0,0,1.13313575025953e-05,0.000110803831111275,0,8.67446775386573e-05,0
PANK4,4.557207353328e-05,6.37674162646962e-05,8.84834948402424e-05,0.000102570697759621,3.12991947042243e-05,0.000306307118105113,7.92908713860501e-05,5.26703401575726e-05,1.72136731747986e-05,0.000159983869683437,0,4.69085873594066e-05,0
RP3-395M20.12,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF14,1.93268873739189e-06,8.19335547140694e-07,1.41638761275488e-06,3.39099361299815e-06,1.14255959680037e-06,2.36703319734999e-06,1.85257095600294e-06,7.67330649394173e-07,6.98092499461796e-07,6.37509149751492e-07,0,1.14578081846516e-06,0
RP3-395M20.9,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM213B,1.48200893320277e-09,0,1.09681957789676e-08,1.38152582049859e-08,4.77050604812247e-08,0,1.00116078275668e-08,0,2.06743515381944e-08,6.37323333030447e-08,0,0,0
MMEL1,0,0,0,0,0,0,0,0,0,0,0,0,0
TTC34,0,2.01712877599453e-06,0,0,0,0,0,0,0,0,0,0,0
MEGF6,0,0,0,0,0,0,0,0,0,0,0,0,0
TPRG1L,3.11528648061134e-08,4.51413548544943e-08,1.01798673403634e-07,1.64321626966086e-08,2.22971779161218e-08,0,2.19971620656864e-08,0,2.34814434567566e-08,0,0,3.51393512196938e-08,0
WRAP73,2.19309182581198e-09,2.65467783559648e-09,7.62532460881411e-09,6.48903965237582e-09,1.71055249878902e-08,0,6.21640788754755e-09,6.93489530761868e-09,6.48684189958985e-09,1.28981007313962e-08,0,5.25011518967214e-09,0
TP73-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0
SMIM1,1.43137298663263e-08,0,1.1798863246082e-07,1.46052973776096e-07,0,0,0,0,6.70166484166255e-08,2.14237457892603e-07,0,0,0
LRRC47,6.12863381412124e-09,2.21048312354668e-08,1.84224729310209e-08,7.81132005529146e-09,1.43408733103868e-08,0,3.61863783348197e-08,3.61264817691097e-08,1.3103166086875e-08,9.51745019867109e-09,0,1.54015037670225e-08,0
CEP104,7.32639114646398e-08,2.26947001201105e-07,1.50564726806054e-07,1.19251929693157e-07,6.80609022650859e-08,0,3.03830112641383e-07,0,1.12443630080505e-07,9.53987042725319e-08,0,1.99306347013373e-07,0
DFFB,0,0,4.90903310125304e-08,0,1.01359277120473e-07,0,2.98736171851467e-08,0,0,5.16807007667328e-08,0,0,0
C1orf174,7.24064839858782e-10,1.92167648839214e-09,9.66249534095325e-10,7.56092381809549e-10,7.5214757032454e-10,1.82398604479598e-09,1.40217716595095e-09,3.67757467043498e-09,1.36353262295888e-09,2.07933806591689e-09,0,9.66250076051561e-10,0
LINC01134,0,0,0,5.39631743332799e-07,0,0,0,0,0,0,0,0,0
NPHP4,0,0,0,0,0,0,1.38819783193414e-07,0,1.40925771003246e-07,2.46745728130663e-07,0,0,0
KCNAB2,1.76963407491916e-05,8.72492661247641e-06,1.61755622110746e-05,1.13513926682757e-05,0,2.66534133186308e-05,1.56935291918241e-05,0,6.34738743011372e-06,7.4058762468107e-06,0,5.35433367286306e-06,0
RPL22,5.04839774020141e-07,1.64982568667219e-06,1.27214432297366e-06,4.07824147216017e-07,1.14401722717745e-06,1.37349448622022e-06,4.87584485826892e-07,6.00199498798795e-07,1.15683234015264e-06,9.21497491364842e-07,0,5.83180052268405e-07,1.54515330692311e-06
RNF207,0,0,1.00505777875389e-06,0,0,0,0,0,7.14319559665526e-07,0,0,0,0
ICMT,1.42330737104117e-06,1.70395853301175e-05,7.83049534900067e-06,7.94602473907855e-06,4.31652495590246e-06,2.67917866613008e-05,1.18795754664047e-05,0,3.36264595855576e-06,1.85740380710382e-05,0,2.67569370790006e-05,0
GPR153,0,0,0,0,0,0,0,0,0,0,0,1.08692774978868e-05,0
ACOT7,1.46438148659337e-08,0,1.19716065118629e-07,6.89172779320542e-08,8.60962255550214e-08,0,2.38915852346038e-07,0,2.23466952171221e-07,0,0,9.67341648625662e-07,0
