,Peak0,Peak1,Peak2,Peak3,Peak4,Peak5,Peak6,Peak7,Peak8,Peak9,Peak10,Peak11,Peak12,Peak13
AL627309.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00115,0.00833630788359957,0.0193410089462975,0.014424832898337,0.034885846055808,0,0,0,0.101025983253153,0.0156582358839526,0,0,0,0,0
NOC2L,0.0301998068259627,0.141340851753572,0.219397201632991,0.163906063422655,0.0648706748200029,0.138297804553468,0.124606732032792,0.341147598355429,0.235038810759406,0.163365052094693,0.663055813403503,0.175903489071821,0.197114262663132,0.04716603834897
KLHL17,0.00130588040501245,0,0,0,0,0,0,0,0,0.0854950168855389,0,0,0,0
PLEKHN1,0.02034275618656,0.0104547713302207,0.0395425675989641,0.0206840581326379,0,0,0,0,0,0.0824513287953859,0,0,0,0
HES4,0.647921268243091,0.0659910884021078,0.291639008375347,0.197818617747631,0.27974497614979,0.609904062988797,0.0227634339587722,0.237441656459592,0.0601917269654698,0,0.392256857348594,0.0793463635556261,0.0756683147733404,1.07873102316531
ISG15,3.85767295897524,1.57273921527386,1.99497558451221,1.65010237824412,1.64614803623399,2.94493257592355,2.06023224584547,1.95364589450495,1.24495179485179,2.16222304426127,2.14604137379936,2.94440575593889,2.52866456526824,3.51897983786409
AGRN,0.0091724820221161,0,0,0.0201070801170671,0,0,0,0,0,0,0,0.022634492593412,0,0.105970942911289
C1orf159,0,0,0,0,0.0317558717456292,0.0120394702114642,0,0.0258363519161877,0.0224554790233193,0,0,0.0207362032737242,0,0.0111935381776438
TNFRSF18,0.0178982385672678,0.302107765974759,0.0826033467901749,1.41677939090244,0.926619421178632,0.0106427548600496,0.0601369508710524,0.0300852430861461,0.0242377404522215,0,0.655557109391236,0.0822248692101744,0.0334247497561935,0.179581531636245
TNFRSF4,0.0116145268386789,0.791283418177298,0.0349530508709073,0.242050169476908,0.323359501076374,0.0507491074252276,0,0.207057872438472,0.0248470958042204,0,0.16042869565468,1.20169049832749,0,0.483007322966629
SDF4,0.153000867240833,0.212871188623366,0.39086112873709,0.282763025398595,0.368871123092292,0.158695250900114,0.0771032983183458,0.154595115157972,0.0708718081572782,0.149510130270033,0.243576081853883,0.58364005287114,0.102283808510337,0.383848601139934
B3GALT6,0.00749616018300444,0.0100700256951761,0.070580126686871,0,0.0623825854630491,0,0,0.0470770141983643,0.0540350909593207,0.0802419783397015,0.110008065805082,0,0.0754543894147772,0.0271297162063424
UBE2J2,0.136692837550265,0.164213416411307,0.328738309905644,0.200575871637649,0.211894850908608,0.271868302943553,0.219776712796895,0.224419999270559,0.136095540252092,0.129137543307877,0.157172708171483,0.385981107578059,0.114246499694729,0.273039031823242
ACAP3,0.00407574479902413,0,0,0.0147944660403736,0,0,0.0207094037658119,0.0300106017741555,0.0243376850584122,0,0,0,0,0.0128632518246647
PUSL1,0.0197251547733196,0.0193175350609527,0.0354335896293448,0.0689201282548058,0,0.0342966462516876,0,0.0228052799344162,0.0204647015582801,0,0.0653571627191437,0.0314604299005112,0.0795620590733802,0.0267437933407375
CPSF3L,0.0716260769251422,0.0689672967070175,0.153822012428377,0.0775364991386115,0.0935818075183919,0.0787055874437331,0.161580231427051,0.0723234578764499,0.0757004379354657,0.0904175886605585,0.159805288718821,0.210691648853723,0.0750246256719991,0.191136982924991
GLTPD1,0.0343398859135903,0.0402639789738357,0,0.0631581671471453,0.0307673349650223,0.0242561225038996,0.0983984807031592,0.0217889793049786,0.0250328696504452,0.0859516215563059,0.0341590557041171,0.057406910844005,0.0362742411980812,0.0332838047383467
DVL1,0.00509730592590871,0,0,0.0147944660403736,0,0,0.0216737145027139,0,0,0.0844848277579015,0,0,0,0.0298475144258159
AURKAIP1,0.600828850235953,0.445057636372434,0.890559770476503,0.390864827332672,0.525854652964084,0.553998679205669,0.642481409467059,0.357045771573767,0.553364837149798,0.412902439465061,0.937036262921213,0.825518808604327,0.465624561002137,0.543116238269162
CCNL2,0.060397922194639,0.098689169922529,0.0825771506315963,0.0944790154761623,0.125370419167968,0.176074682618581,0.0636950162228283,0.115607750398656,0.102435894744169,0.0854950168855389,0.136864447859011,0.047533982504215,0.147095039866769,0.106205142038204
RP4-758J18.2,0.0174085680751366,0.0806142843216768,0.0594413763200767,0.0934300124768735,0.0317084237823937,0.0880589843021858,0.11548740826259,0.0490843119814935,0.0516026532943919,0,0.117013334718957,0.12288967410535,0,0.0356613813713382
MRPL20,0.267666854228741,0.302103407073367,0.560875846053662,0.488809600619975,0.406725916990463,0.278913700380309,0.323139892601498,0.3600100385326,0.380831616407916,0.497697035950174,0.894139019040809,0.647157292825589,0.195870760367329,0.317670709760016
ATAD3C,0,0,0,0.0217248054775493,0,0,0.0174201668154672,0,0,0,0,0,0,0
ATAD3B,0.00915295235704919,0.00912603662968336,0.0158059613389476,0,0.0639803502549968,0.00921394871082127,0.0446705175077012,0.0222174897829999,0,0,0.233129483575596,0.0823756547892521,0,0
ATAD3A,0,0,0,0.065095579164778,0,0,0.0225854841727954,0.0425716622323608,0.0242377404522215,0,0.246710269412427,0.0157200677408231,0,0.0236355390052718
