,Peak0,Peak1,Peak2,Peak3,Peak4,Peak5,Peak6,Peak7,Peak8,Peak9,Peak10,Peak11,Peak12,Peak13
AL627309.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOC2L,4.46957141024247e-07,2.09184460595286e-06,3.24707858416826e-06,2.4258097386553e-06,9.60085987336043e-07,2.04680750739133e-06,1.84417963408533e-06,5.04898445566034e-06,3.47857439923921e-06,2.41780277100146e-06,9.81322603837184e-06,2.60337163826295e-06,2.91729108741435e-06,6.98057367564757e-07
KLHL17,1.93270299941843e-08,0,0,0,0,0,0,0,0,1.26532624990598e-06,0,0,0,0
PLEKHN1,2.02817279180003e-06,1.04234070162301e-06,3.94239398961672e-06,2.062200595824e-06,0,0,0,0,0,8.22039748089998e-06,0,0,0,0
HES4,0.0135104886252322,0.00137604967288844,0.00608127205951017,0.00412492430166034,0.00583325706915915,0.0127177518463577,0.000474664331370319,0.00495114600490321,0.0012551210808455,0,0.00817936077904632,0.00165453457821918,0.00157783971007438,0.0224937564677872
ISG15,3.57220516001107e-05,1.4563565133436e-05,1.8473473912583e-05,1.52799480225406e-05,1.52433308155268e-05,2.7270075653052e-05,1.9077750596529e-05,1.80907609831158e-05,1.15282536203276e-05,2.00221853898594e-05,1.9872343121382e-05,2.72651972999942e-05,2.34154338743839e-05,3.25857532986214e-05
AGRN,1.62032628719243e-05,0,0,3.55193178834399e-05,0,0,0,0,0,0,0,3.9984012242203e-05,0,0.000187198518420336
C1orf159,0,0,0,0,7.53185766062833e-06,2.85552154475507e-06,0,6.12786594748139e-06,5.32599051475086e-06,0,0,4.91821269246192e-06,0,2.65488338497357e-06
TNFRSF18,1.29046300070001e-06,2.17819699267801e-05,5.95570130357161e-06,0.000102149794084066,6.68092602669794e-05,7.67342625409578e-07,4.33587415780288e-06,2.16914602651113e-06,1.74754108660517e-06,0,4.72656675871081e-05,5.92841307005357e-06,2.40992445742155e-06,1.29478284309733e-05
TNFRSF4,5.09877728218004e-08,3.47373420579834e-06,1.53443893323283e-07,1.06260024400363e-06,1.41954820972528e-06,2.22788581596749e-07,0,9.08984060004894e-07,1.09078750580527e-07,0,7.04281973924045e-07,5.2754212876577e-06,0,2.1204021478235e-06
SDF4,1.88191066706225e-07,2.6183156200674e-07,4.80759188346621e-07,3.47798521240271e-07,4.53711481403519e-07,1.9519515860714e-07,9.48370569315654e-08,1.90151991644306e-07,8.71723240334522e-08,1.83897460232141e-07,2.99598580680276e-07,7.17877265031502e-07,1.25809084467715e-07,4.72133779402119e-07
B3GALT6,1.46924739586887e-08,1.97372503625451e-08,1.38337048306267e-07,0,1.22269867507576e-07,0,0,9.2270947828794e-08,1.05908778280269e-07,1.57274277545815e-07,2.15615808977962e-07,0,1.47890603252963e-07,5.3174243764431e-08
UBE2J2,5.38569779948043e-08,6.47000860660548e-08,1.29522894102824e-07,7.90268934252337e-08,8.34865712579916e-08,1.0711611135976e-07,8.65920248419765e-08,8.84214797126003e-08,5.36216428593243e-08,5.08801920633034e-08,6.19260470195644e-08,1.52076556385755e-07,4.50131208797233e-08,1.07577378538358e-07
ACAP3,8.64057897393115e-09,0,0,3.13642680055921e-08,0,0,4.39039359835212e-08,6.36224757612096e-08,5.15958923238339e-08,0,0,0,0,2.72700938682892e-08
PUSL1,4.18173281194375e-08,4.09531743292197e-08,7.5119210014211e-08,1.46110671900188e-07,0,7.27088900535777e-08,0,4.83471934609624e-08,4.33851673035539e-08,0,1.38557184964585e-07,6.66961113890838e-08,1.68671565235566e-07,5.66968418823635e-08
CPSF3L,2.51407530007249e-09,2.42075211441631e-09,5.39915263623602e-09,2.72153111976526e-09,3.28472144389555e-09,2.76256611927503e-09,5.67146612308949e-09,2.53855337146339e-09,2.65708537153485e-09,3.1736573619856e-09,5.60916563403062e-09,7.39527687476568e-09,2.63336436108717e-09,6.7089081006672e-09
GLTPD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVL1,7.4930397110858e-10,0,0,2.17478650793492e-09,0,0,3.18603603189895e-09,0,0,1.24192696804115e-08,0,0,0,4.38758462059493e-09
AURKAIP1,3.13031830972932e-08,2.31875028550038e-08,4.63981640418258e-08,2.03640575040322e-08,2.73970274194288e-08,2.88633311866154e-08,3.34732814332338e-08,1.86020846989933e-08,2.88303080155045e-08,2.15122170961297e-08,4.88195892981952e-08,4.30095299282855e-08,2.42590396282113e-08,2.82963560138233e-08
CCNL2,6.46257767482637e-09,1.05597411817106e-08,8.83575511758081e-09,1.01092546559494e-08,1.34146348509726e-08,1.88399910401882e-08,6.81536673584263e-09,1.23700292926562e-08,1.09606407376261e-08,9.14796680675266e-09,1.46444959209142e-08,5.08613612795101e-09,1.57391692657443e-08,1.13639501980879e-08
RP4-758J18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRPL20,1.16435081589502e-08,1.31414982076914e-08,2.43980993033343e-08,2.12632176269689e-08,1.76925773890851e-08,1.21327459665435e-08,1.40565853281652e-08,1.56604366761681e-08,1.65661753137443e-08,2.16498210638326e-08,3.88950473282752e-08,2.81513422379131e-08,8.52037807597883e-09,1.38186758745607e-08
ATAD3C,0,0,0,2.05951155927168e-07,0,0,1.65143181410629e-07,0,0,0,0,0,0,0
