GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
GNAS,0.0,4.2940217222454305e-07,0.0,0.0,0.0,0.0,0.9999995705978273,7.061320592347442e-26
IRF8,0.0,5.233517574258915e-12,0.9999999999947664,0.0,0.0,0.0,1.1391357368703885e-28,6.501327263956715e-53
CD40,0.0,1.0,0.0,0.0,0.0,1.2570085471710231e-254,3.973167985541952e-139,2.378557151753065e-18
BUB3,1.0,1.6043320096002433e-57,0.0,0.0,0.0,0.0,2.7138446164174825e-165,9.03625044460002e-164
IRF4,0.0,4.1372512651762584e-19,1.0,0.0,0.0,0.0,6.134834965724031e-59,5.02934322554139e-81
CDKN2A,1.0,2.2207203771827722e-72,0.0,0.0,0.0,0.0,1.15224950628837e-143,4.708873521802802e-30
PPIE,0.0,0.0,0.0,1.0,0.0,0.0,4.218779414648039e-39,1.3862155788205842e-224
RNF220,1.0,8.996854947751737e-42,0.0,0.0,0.0,0.0,2.358467854678883e-260,2.3085179946329e-106
C4orf48,0.0,1.8727012152862295e-15,0.0,0.0,0.0,1.0,1.4953588811798413e-28,7.249387201550157e-38
TBX21,0.0,2.8849109756363836e-15,0.9999999999999971,0.0,0.0,0.0,5.14130684080123e-57,1.6026714888518517e-88
PAX5,0.0,9.278981615536246e-113,0.0,0.0,1.0,0.0,5.420217181865758e-261,1.219502247277878e-274
CRNDE,0.0,2.7004565289102766e-23,0.0,0.0,0.0,0.9999999999999751,8.566934137800968e-127,2.3950417873941017e-14
BLK,0.0,0.14479473497246667,0.0,0.0,0.0,0.0,0.8552052649936067,3.392784205434814e-11
NR4A2,0.0,1.5037995042259044e-35,0.0,0.0,0.0,0.0,1.1441858809068785e-86,1.0
PRKAG1,0.0,1.8821434630257463e-07,0.0,0.0,0.0,0.0,0.9999998117856546,2.6269935250469596e-31
HES4,0.0,3.349419546188114e-22,0.0,0.0,0.0,1.0,7.822513996816227e-51,5.575943925237918e-29
PDIA6,0.0,3.918470665138305e-05,0.0,0.0,0.0,1.0951944359010988e-150,0.9999608152933482,9.931257917802034e-22
FAM172A,0.0,2.1103983586762384e-06,0.0,0.0,0.0,0.0,0.9999978896016419,7.87449747498559e-20
EBF1,0.0,8.381056549394269e-13,0.0,0.0,0.0,0.9999999999991616,9.7086270498847e-82,1.0034918938620343e-38
MAFB,1.0,4.238737471957074e-44,0.0,0.0,0.0,1.40274849845213e-272,1.076575503241312e-83,2.260775915880973e-31
RPF1,0.0,2.2069496168778584e-08,0.0,0.0,0.0,0.0,1.2378072455776024e-24,0.9999999779305038
BCL11A,0.0,4.293042852527518e-39,0.0,0.0,0.0,0.0,2.4131298910332733e-153,1.0
METAP1D,0.0,0.0002555273010901161,0.0,0.0,0.0,0.0,0.9997444726989096,1.7699163669442066e-28
CAMTA1,0.0,1.3809863990073705e-07,0.0,0.0,0.0,0.0,0.9999998619013606,5.510442255238716e-31
CCND2,0.0,1.0,0.0,0.0,0.0,1.2368690019146718e-213,5.40839825430711e-70,1.60263838990642e-32
EXOC6,0.0,1.5102718003904995e-06,0.0,0.0,0.0,0.0,0.999998489728199,2.8227357582870227e-24
CXCR4,0.0,1.0,0.0,0.0,0.0,2.4260914962359254e-19,1.0173022983244004e-51,2.463098795108826e-38
RBBP7,0.0,1.0,0.0,0.0,0.0,0.0,1.8544195296615534e-47,2.2012681751695485e-212
NFIX,0.0,0.0,0.0,1.0,0.0,0.0,2.781528620983864e-59,7.382158660801056e-202
CASZ1,0.0,1.5668923385731328e-37,1.0,0.0,0.0,0.0,0.0,6.386274408467206e-73
SMUG1,0.0,1.5848530387138324e-25,0.0,0.0,0.0,1.0,2.1415941118341666e-98,2.85498123467442e-65
ANP32B,0.0,1.1331110548146078e-28,0.0,0.0,0.0,0.0,1.0,7.392904914401001e-62
ZSCAN9,0.0,1.225073198426233e-14,0.0,0.0,0.0,3.126325630647559e-35,1.2411451447647726e-87,0.9999999999999893
ANK1,0.0,3.6164717999492556e-15,0.0,0.0,0.0,0.0,4.581651856565789e-37,0.9999999999999964
FBXL16,0.0,3.152012316063007e-25,0.0,0.0,0.0,1.0,4.1214924835615442e-109,1.0790856113038764e-74
SLC17A9,0.0,1.2258282230004694e-07,0.0,0.0,0.0,0.0,0.9999998774166277,5.490369964794164e-13
ACTR5,0.0,7.684440659508964e-23,0.0,0.0,0.0,0.0,6.608425633804182e-45,1.0
XKR6,1.0,1.0714398820179235e-29,0.0,0.0,0.0,5.693925950967976e-139,9.129606541890085e-238,2.435713193470924e-62
TAP1,0.0,6.359074726070772e-09,0.0,0.0,0.0,0.0,0.999999993640925,3.7284561677373006e-55
COMMD3,0.0,5.0254302246956686e-21,0.0,0.0,0.0,0.0,1.0,1.0631679082905996e-34
ECE2,0.0,3.764574250368576e-07,0.0,0.0,0.0,0.0,0.9999996235425745,1.8340179066684236e-36
PRKAG2,0.0,1.0936730366698036e-06,0.0,0.0,0.0,0.0,0.9999989063269629,1.8077394803434014e-30
RUNX3,0.0,8.486919959548034e-17,1.0,0.0,0.0,0.0,9.101410308270584e-93,1.3592540255169694e-108
NFIC,0.0,8.739794410928785e-43,0.0,0.999999999996632,0.0,0.0,3.367711526783008e-12,2.783297884881037e-64
EGR4,1.0,2.032181448244364e-29,0.0,0.0,0.0,1.8570921505252276e-279,3.317835144779595e-46,3.4664978115503795e-52
EGR3,0.0,5.864947009486273e-30,0.0,0.0,0.0,1.0,2.3143672550820405e-66,1.381192163227297e-37
SLCO4A1,0.0,1.0,0.0,0.0,0.0,0.0,3.197101243547478e-18,1.9874038798513739e-94
BMI1,0.0,5.8847690845424254e-27,0.0,0.0,0.0,0.0,1.0,5.536169468545923e-17
LEF1,0.0,1.5138084115130266e-09,0.0,0.0,0.0,0.9999999984861923,4.37954309874558e-28,2.3522340608967192e-29
NFATC1,0.0,0.9999999999999964,0.0,0.0,0.0,5.363335318677464e-195,4.156553092659785e-15,1.594484778919401e-23
MFNG,0.0,1.0,0.0,0.0,0.0,0.0,1.7984832439028782e-95,3.7481858175574826e-53
GMDS,0.0,1.2080553641939188e-05,0.0,0.0,0.0,0.0,0.9999879194463577,2.2731963232395447e-29
PLAGL1,0.0,0.989370446580234,0.0,0.0,0.0,2.173699648939756e-47,0.010629553419767254,1.2923328449262583e-46
TSC22D3,0.0,1.0,0.0,0.0,0.0,5.6421816758875395e-279,8.88956453330211e-50,4.873076039038877e-214
KLK1,0.0,2.8430646487469555e-31,0.0,0.0,0.0,1.0,3.634261535583272e-81,5.317833147658227e-34
C9orf142,0.0,0.9999999999988631,0.0,0.0,0.0,2.103649604801019e-228,1.1361899114541828e-12,2.1522092273857274e-17
SKAP1,0.0,2.7055664555759164e-21,1.0,0.0,0.0,0.0,2.1761268755810797e-87,8.767358763905821e-76
ITGB2,0.0,1.0,0.0,0.0,0.0,0.0,1.4224136787338646e-21,3.403593969646738e-55
DUSP4,0.0,2.403897198414997e-10,0.0,0.0,0.0,0.9999999997596092,6.597323275414509e-72,1.060417467683803e-31
GIMAP5,0.0,9.159814143456397e-49,0.0,0.9999999999998934,0.0,0.0,1.0668001712995808e-13,1.0389065610645113e-98
HES1,0.0,4.168670168764885e-08,0.0,0.0,0.0,1.8957191540277145e-10,5.189105958695459e-68,0.9999999581237278
DLL3,0.0,1.3245685435762242e-16,0.0,0.0,0.0,1.0,1.1696663244119758e-153,2.530784473683547e-47
ZNHIT3,0.0,3.676733920607597e-09,0.0,0.0,0.0,0.0,0.9999999963184116,4.854586013860776e-12
HLA-C,0.0,0.9999531450460348,0.0,0.0,0.0,9.537892974308335e-88,4.685495396524611e-05,5.974314905836461e-46
QSOX2,0.0,0.9999999982215719,0.0,0.0,0.0,1.4121361347829772e-209,1.7784266918773947e-09,1.3053322505853765e-16
HEY2,0.0,7.185090502403557e-12,0.0,0.0,0.0,3.7143059425819145e-104,1.4318909439177153e-77,0.9999999999928164
PHACTR1,0.0,0.999999950011316,0.0,0.0,0.0,0.0,4.9872082589994894e-08,1.166012133003293e-10
NEURL1,0.0,0.9999999999999325,0.0,0.0,0.0,5.935172050131163e-77,4.188782985726744e-16,6.624572581199834e-14
RBM10,0.0,0.043467801454412425,0.0,0.0,0.0,0.0,0.9565321985455879,3.8922147587817e-34
CD6,0.0,0.9991948398201089,0.0,0.0,0.0,6.962397463297958e-17,0.0008051601798907999,1.0949625855483007e-80
DUSP2,0.0,1.0,0.0,0.0,0.0,0.0,6.769104106384456e-40,1.1384366561780294e-35
EHBP1,0.0,9.421907124881136e-07,0.0,0.0,0.0,0.0,0.9999990578092868,2.439919635840928e-18
ETS1,0.0,3.286846427823484e-07,0.0,0.0,0.0,2.235726188124824e-168,0.9999996713153586,4.106944522755464e-20
MT2A,0.0,5.310913960045644e-165,0.0,1.0,0.0,0.0,1.430207941593369e-31,1.2264375704958894e-148
BHLHE41,0.0,4.0806150358128336e-07,0.0,0.0,0.0,1.8177035571475118e-59,8.19676619993001e-40,0.9999995919384952
FBRS,0.0,5.974037691458027e-31,0.0,0.0,0.0,0.0,1.0,7.533939204962733e-50
IKZF1,0.0,1.0,0.0,0.0,0.0,2.93155449945171e-19,1.8459105728371587e-17,2.359593332850139e-35
CREB5,0.0,5.152878722957455e-05,0.0,0.0,0.0,0.0,4.4222909149598714e-32,0.9999484712127691
MTMR9,0.0,3.146825533659716e-09,0.0,0.0,0.0,1.3348016400886043e-179,3.4159629282249247e-73,0.9999999968531732
LMNA,0.0,2.6605095638335415e-07,0.0,0.0,0.0,0.0,1.9001748431575273e-13,0.9999997339488543
NCKAP1L,0.0,1.3436672668755935e-05,0.0,0.0,0.0,0.0,0.9999865633273315,1.0062173966556135e-27
RPS4X,0.0,0.019505724454462275,0.0,0.0,0.0,0.0,0.9804942755455376,2.3668080586119935e-58
ENTPD1-AS1,0.0,1.1792807749911783e-16,0.0,0.0,0.0,1.6015191446311217e-13,1.2166649232506719e-68,0.9999999999998401
OAF,0.0,3.264721454254794e-97,0.0,1.0,0.0,0.0,4.494183679638066e-19,3.516442226522968e-56
CELF2,0.0,1.7971924518019572e-09,0.0,0.0,0.0,1.137874562853812e-158,1.0257400524984131e-31,0.9999999982028083
ARF1,0.0,3.785779468981846e-41,0.0,0.0,0.0,0.0,1.0,2.228118146966659e-47
ZEB2,0.0,2.7096942790074846e-10,0.0,0.0,0.0,0.999999999729031,3.429159582912972e-190,2.326993869247697e-27
TCEA2,0.0,1.0,0.0,0.0,0.0,0.0,8.862733492392224e-54,3.477098659562577e-25
PRKCZ,0.0,9.799143218378549e-19,1.0,0.0,0.0,0.0,7.445709480213024e-153,5.44047584525825e-108
RPL38,0.0,0.9999999961606676,0.0,0.0,0.0,6.768435798252958e-54,1.4082963261689864e-12,3.837923180669118e-09
RSRC1,1.0,4.007390754887704e-30,0.0,0.0,0.0,1.3061692832310117e-59,2.77947143808514e-93,7.255720893116024e-20
STK3,0.0,1.6013950667472375e-07,0.0,0.0,0.0,0.0,0.9999998398604933,5.042327153180488e-28
MCC,0.0,1.5727641901368915e-05,0.0,0.0,0.0,0.0,8.854108963253293e-11,0.9999842722695572
MT1X,0.0,1.2877363735541233e-236,0.0,1.0,0.0,0.0,7.883196963102055e-102,2.0616929123922935e-90
TYMP,0.0,0.9999703936730303,0.0,0.0,0.0,0.0,2.960632697112528e-05,3.4472800018008665e-29
