GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6
GATA3,2.2279675459809714e-163,1.0,0.0,0.0,0.0,1.5508245928625095e-20
GNAS,0.9999979798019445,0.0,0.0,0.0,0.0,2.020198055477991e-06
BUB3,1.5851913264839832e-72,1.0,0.0,0.0,0.0,3.7773994907890645e-21
BCL11B,7.654349648308468e-64,0.0,0.0,0.0,0.0,1.0
GIMAP5,0.9999999984617993,0.0,0.0,0.0,0.0,1.5382011604345568e-09
PPIE,4.4696316854028775e-57,0.0,1.0,0.0,0.0,1.1670018120094808e-59
RNF220,2.479801364699777e-68,1.0,0.0,0.0,0.0,3.731772201807878e-19
CXCR4,1.0832305610003762e-11,0.0,0.0,0.0,0.0,0.9999999999891678
CD6,0.9995284278025484,0.0,0.0,0.0,0.0,0.0004715721974521976
C4orf48,0.0017061239303951161,0.0,0.0,0.0,0.0,0.9982938760696048
WNT10A,2.2793749349507105e-95,1.0,0.0,0.0,0.0,2.185718700015724e-26
NSG1,1.0124898088586833e-11,0.0,0.0,0.0,0.0,0.9999999999898748
PRKAG1,0.9999985823437475,0.0,0.0,0.0,0.0,1.4176562528239857e-06
SMUG1,1.3025820103968195e-55,0.0,0.0,0.0,0.0,1.0
LEF1,2.776685886594964e-11,0.0,0.0,0.0,0.0,0.999999999972232
COMMD3,0.9999983194772762,0.0,0.0,0.0,0.0,1.680522723811648e-06
RBBP7,1.0,0.0,0.0,0.0,0.0,1.3669168937965604e-31
TSC22D3,1.6634470797255218e-16,0.0,0.0,0.0,1.0,9.773700517874017e-38
SKAP1,1.303787459091205e-92,0.0,0.0,0.0,0.0,1.0
FLI1,6.407730215634768e-51,0.0,0.0,0.0,0.0,1.0
FAM172A,0.9999936637155782,0.0,0.0,0.0,0.0,6.336284422403588e-06
GRAP2,8.222874123126186e-16,0.0,0.0,0.0,0.9999999999999822,1.707376395094857e-14
NR4A2,5.727724431022042e-14,0.0,0.0,0.0,0.0,0.9999999999999432
BMI1,0.9999579826900862,0.0,0.0,0.0,0.0,4.201730991408798e-05
TBX21,4.981720886487104e-16,0.0,0.0,0.0,0.0,1.0
HPCAL4,4.162986939419128e-54,0.0,1.0,0.0,0.0,2.0689555126203085e-63
CDKN2A,1.0451875142383592e-90,1.0,0.0,0.0,0.0,1.1672177391498226e-20
RORA,0.9977833744515834,0.0,0.0,0.0,0.0,0.002216625548415643
RPF1,1.3643949955193024e-12,0.0,0.0,0.0,0.0,0.9999999999986358
CAMTA1,0.9999985237904194,0.0,0.0,0.0,0.0,1.4762095806519655e-06
IGSF9B,2.083183610370206e-07,0.0,0.0,0.0,0.0,0.9999997916816387
KRT1,2.841553647801103e-35,0.0,0.0,0.0,1.0,3.9240395529735524e-17
IKZF1,2.5625339330261795e-20,0.0,0.0,0.0,0.0,1.0
PTPRN2,4.409223025650825e-06,0.0,0.0,0.0,0.0,0.9999955907769729
ANP32B,0.9999999325882176,0.0,0.0,0.0,0.0,6.74117823458324e-08
NCKAP1L,0.9999866174250402,0.0,0.0,0.0,0.0,1.3382574960030825e-05
MT2A,3.732394551440966e-29,0.0,1.0,0.0,0.0,5.531569601317224e-46
PDIA6,0.9998365995172115,0.0,0.0,0.0,0.0,0.0001634004827896082
ETS1,7.584353027040397e-14,0.0,0.0,0.0,0.0,0.9999999999999254
PDE2A,8.490505239500646e-26,0.0,0.0,0.0,0.9999999999948308,5.169160020640225e-12
HES4,0.00027865040649774825,0.0,0.0,0.0,0.0,0.9997213495935012
MT1F,6.15596594675467e-69,0.0,1.0,0.0,0.0,1.1096131407028968e-51
EXOC6,0.9999955778237898,0.0,0.0,0.0,0.0,4.4221762110268365e-06
MAFB,1.3321790696531612e-21,0.9999999999502638,0.0,0.0,0.0,4.97367518884885e-11
CRNDE,1.0677660278539272e-40,0.0,0.0,0.0,0.0,1.0
XKR6,1.2100432855993178e-140,0.9999999999999982,0.0,0.0,0.0,1.041616435101667e-15
ANK1,0.00021660060728536585,0.0,0.0,0.0,0.0,0.9997833993927142
MAL,0.0001951130359028059,0.0,0.0,0.0,0.0,0.9998048869640963
SEZ6,3.1345082842173364e-14,0.0,0.0,0.0,0.0,0.999999999999968
TNFRSF12A,0.9951279937411488,0.0,0.0,0.0,0.0,0.004872006258852104
PRKAG2,0.9999970673448498,0.0,0.0,0.0,0.0,2.9326551494218386e-06
SLFN12L,2.3487553899592713e-108,0.9999999999999645,0.0,0.0,0.0,3.485182463412488e-14
TNFSF8,0.9999992912842532,0.0,0.0,0.0,0.0,7.087157454626919e-07
SPOCK2,0.9132434033150966,0.0,0.0,0.0,0.0,0.08675659668490336
CCND2,3.7725994296139913e-14,0.0,0.0,0.0,0.0,0.9999999999999609
CDKN2C,0.9999112614749068,0.0,0.0,0.0,0.0,8.8738525093803e-05
WNT7A,1.115207616913434e-23,0.0,0.0,0.0,0.0,1.0
CXCL16,0.00035242619507726703,0.0,0.0,0.0,0.0,0.999647573804923
MFNG,3.3036238075802356e-47,0.0,0.0,0.0,1.0,7.443597401714044e-20
RUNX3,1.2066406714912656e-22,0.0,0.0,0.0,0.0,1.0
ACTR5,1.5732134333394847e-23,0.0,0.0,0.0,0.0,1.0
TAP1,0.9997289990488027,0.0,0.0,0.0,0.0,0.00027100095119892055
ZNHIT3,0.9998481780935193,0.0,0.0,0.0,0.0,0.00015182190648081091
NFIC,0.9999999995541593,0.0,0.0,0.0,0.0,4.4584011564492437e-10
HLA-C,0.9833927912550089,0.0,0.0,0.0,0.0,0.016607208744991733
AUTS2,0.9999919805433923,0.0,0.0,0.0,0.0,8.019456609076059e-06
MT1X,5.7841060224854236e-49,0.0,1.0,0.0,0.0,4.790648407715907e-47
EHBP1,0.9999661468075685,0.0,0.0,0.0,0.0,3.385319243216997e-05
NFATC1,0.864796348995556,0.0,0.0,0.0,0.0,0.1352036510044456
IRF8,1.5309894809969577e-22,0.0,0.0,0.0,0.9999999986784482,1.3215514446282195e-09
HOXB2,0.0,0.0,0.0,1.0,0.0,0.0
SLFN13,8.806031943456255e-51,0.0,0.0,0.0,0.0,1.0
SATB1,0.9988244723339149,0.0,0.0,0.0,0.0,0.0011755276660857079
C9orf142,0.9952082624929074,0.0,0.0,0.0,0.0,0.004791737507093169
CACNA2D4,0.997148640453109,0.0,0.0,0.0,0.0,0.0028513595468916877
LMNA,0.998028686268645,0.0,0.0,0.0,0.0,0.0019713137313546836
PRKCZ,5.784899132196541e-25,0.0,0.0,0.0,0.9999999988346868,1.1653130470578785e-09
FAF1,0.9999987788052525,0.0,0.0,0.0,0.0,1.2211947477350162e-06
TBKBP1,0.9991858493623484,0.0,0.0,0.0,0.0,0.0008141506376516837
MTHFSD,1.286563963647339e-40,0.0,0.0,0.0,0.0,1.0
RPS4X,0.999995663605281,0.0,0.0,0.0,0.0,4.336394718655366e-06
CLYBL,0.9999963926845221,0.0,0.0,0.0,0.0,3.6073154788116407e-06
RAB11FIP4,0.9347331046343477,0.0,0.0,0.0,0.0,0.0652668953656514
ITGB2,0.001324791667575524,0.0,0.0,0.0,0.0,0.9986752083324243
CAMK2N1,5.106664784200743e-24,0.0,0.0,0.0,0.0,1.0
MTMR9,2.288924860713305e-23,0.0,0.0,0.0,0.0,1.0
DLGAP4,1.2811534812328218e-16,0.0,0.0,0.0,0.0,1.0
RSRC1,3.558193750007242e-39,0.9999999999999218,0.0,0.0,0.0,7.893638815591606e-14
PDE4A,2.0397845882911097e-10,0.0,0.0,0.0,0.0,0.9999999997960209
CELF2,3.5831169135989256e-08,0.0,0.0,0.0,0.0,0.9999999641688297
ARHGAP9,1.2934353304507839e-08,0.0,0.0,0.0,0.0,0.999999987065646
MCC,0.9650847524726315,0.0,0.0,0.0,0.0,0.03491524752736926
RASGEF1A,1.642906072957082e-17,0.0,0.0,0.0,0.0,1.0
ARF1,0.9999999877513055,0.0,0.0,0.0,0.0,1.2248693278626536e-08
CEACAM21,1.6527713918378658e-25,0.0,0.0,0.0,0.9999999999798126,2.0187446783988258e-11
LINC00176,2.431253514790605e-05,0.0,0.0,0.0,0.0,0.9999756874648511
MCF2L-AS1,3.5161622446556807e-37,0.0,0.0,0.0,0.9999999999999956,4.7909066295050026e-15
GMDS,0.9999959449552634,0.0,0.0,0.0,0.0,4.055044737171782e-06
RPL38,0.9791810470396166,0.0,0.0,0.0,0.0,0.02081895296038454
QSOX2,0.9998092491472823,0.0,0.0,0.0,0.0,0.00019075085271690715
