GENE,cluster1,cluster2,cluster3,cluster4
GATA3,1.0,0.0,0.0,5.632270254782549e-141
GNAS,0.00012441654731621424,0.0,0.0,0.9998755834526846
BUB3,1.0,0.0,0.0,2.722293787935703e-59
EOMES,1.0,0.0,0.0,1.4845760966496659e-33
PPIE,1.0,0.0,0.0,5.0553253872627385e-24
GIMAP5,0.01603260419718036,0.0,0.0,0.9839673958028191
FAM172A,0.00018529895566095337,0.0,0.0,0.9998147010443383
IRF4,0.9999999999798987,0.0,0.0,2.0102192517223696e-11
TBX21,0.9999997360428836,0.0,0.0,2.639571165486694e-07
CXCR4,0.056380872027093035,0.0,0.0,0.9436191279729076
HOXA10,0.0,0.0,1.0,0.0
PRKAG1,9.58949958134188e-05,0.0,0.0,0.999904105004186
HOXA7,0.0,0.0,1.0,0.0
IRF8,0.9999964790226193,0.0,0.0,3.5209773820102637e-06
CBX8,1.0,0.0,0.0,4.311904106285211e-32
SMUG1,1.0,0.0,0.0,3.631263025177555e-51
FLI1,0.9999999999999929,0.0,0.0,7.298598935234006e-15
PLXNA4,0.9999999999957403,0.0,0.0,4.2604328264366304e-12
NPTX1,1.0,0.0,0.0,3.873309391760629e-26
BCL11A,1.0,0.0,0.0,7.137724673748848e-27
COMMD3,0.0018442016506982992,0.0,0.0,0.9981557983493026
PDIA6,0.00022183844849427126,0.0,0.0,0.9997781615515059
CLIC3,0.0007959733875519062,0.0,0.0,0.9992040266124492
HES4,0.9999997366451927,0.0,0.0,2.633548065391677e-07
CD40,1.0,0.0,0.0,2.9590786393795224e-29
SKAP1,1.0,0.0,0.0,2.782455883363869e-62
PTPRN2,0.08761260434374735,0.0,0.0,0.9123873956562513
SLFN13,1.0,0.0,0.0,8.978257360899098e-41
BCOR,7.092889494353983e-05,0.0,0.0,0.9999290711050571
ITGB2,0.12139644140909789,0.0,0.0,0.878603558590903
NFIX,1.0,0.0,0.0,1.287658122180464e-17
RUNX3,0.99999998417821,0.0,0.0,1.5821788486060248e-08
BMI1,0.01362595636459004,0.0,0.0,0.9863740436354085
RPF1,0.9999998210437031,0.0,0.0,1.789562953017684e-07
CDKN2C,0.0017927055852101747,0.0,0.0,0.9982072944147904
RBBP7,9.830706521956422e-09,0.0,0.0,0.9999999901692931
MAFB,1.0,0.0,0.0,2.6869569830683816e-30
