GENE,cluster1,cluster2
GATA3,0.0,1.0
GNAS,0.0,1.0
EOMES,0.0,1.0
BUB3,0.0,1.0
FAM172A,0.0,1.0
TBX21,0.0,1.0
PPIE,0.0,1.0
PRKAG1,0.0,1.0
IRF8,0.0,1.0
CXCR4,0.0,1.0
CDKN2A,0.0,1.0
RNF220,0.0,1.0
SMUG1,0.0,1.0
GIMAP5,0.0,1.0
BCL11B,0.0,1.0
CLIC3,0.0,1.0
SKAP1,0.0,1.0
HES4,0.0,1.0
CDKN2C,0.0,1.0
MMP9,0.0,1.0
C4orf48,0.0,1.0
FLI1,0.0,1.0
MAFB,0.0,1.0
RFX4,0.0,1.0
RPF1,0.0,1.0
GRAP2,0.0,1.0
CD40,0.0,1.0
ITGB2,0.0,1.0
BCL11A,0.0,1.0
RBBP7,0.0,1.0
COMMD3,0.0,1.0
CD6,0.0,1.0
PDIA6,0.0,1.0
CAMTA1,0.0,1.0
BCOR,0.0,1.0
SLFN12L,0.0,1.0
ASCL2,0.0,1.0
HOXA10,1.0,1.0262843263894047e-254
ZEB2,0.0,1.0
NR4A2,0.0,1.0
C9orf142,0.0,1.0
AUTS2,0.0,1.0
MT2A,0.0,1.0
LEF1,0.0,1.0
KIF19,0.0,1.0
CD300E,0.0,1.0
SLFN13,0.0,1.0
CCND2,0.0,1.0
ZBTB16,0.0,1.0
ETS1,0.0,1.0
TAP1,0.0,1.0
MTMR9,0.0,1.0
PSMG3-AS1,0.0,1.0
RAB37,0.0,1.0
GFI1,0.0,1.0
CBX4,0.0,1.0
HEY2,0.0,1.0
RUNX3,0.0,1.0
IKZF1,0.0,1.0
IFITM10,0.0,1.0
TSC22D3,0.0,1.0
SPON2,0.0,1.0
GNAL,0.0,1.0
FAF1,0.0,1.0
HOTAIRM1,1.0,2.6868983657195062e-250
HLA-C,0.0,1.0
SCD5,0.0,1.0
HOXB2,1.0,2.332047285815772e-292
GMDS,0.0,1.0
NFIC,0.0,1.0
STK3,0.0,1.0
RORA,0.0,1.0
ZFHX3,0.0,1.0
NCKAP1L,0.0,1.0
PRKAG2,0.0,1.0
ANP32B,0.0,1.0
ZNHIT3,0.0,1.0
DLL1,0.0,1.0
IL2RB,0.0,1.0
ARHGEF7,0.0,1.0
PTGDS,0.0,1.0
MFNG,0.0,1.0
NFATC1,0.0,1.0
PDE4A,0.0,1.0
DLGAP4,0.0,1.0
TNFRSF12A,0.0,1.0
LMNA,0.0,1.0
CELF2,0.0,1.0
FBRS,0.0,1.0
PRKCZ,0.0,1.0
RAB11FIP4,0.0,1.0
RSRC1,0.0,1.0
DOK1,0.0,1.0
MT1X,0.0,1.0
ARF1,0.0,1.0
ABCG1,0.0,1.0
SPOCK2,0.0,1.0
SATB1,0.0,1.0
RPS4X,0.0,1.0
KRT2,0.0,1.0
