GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7
MAFB,4.796980551497746e-17,0.0,3.2021461244816473e-25,7.868143174020919e-14,0.0,0.9999999999999218,0.0
GNAS,3.21241494458929e-07,0.0,1.0247255428477913e-50,0.9999996779377497,0.0,8.207565448079967e-10,0.0
CD300E,2.44190081897056e-10,0.0,0.99999999973938,2.998916340920997e-26,0.0,1.6431146638245495e-11,0.0
BUB3,4.452511782382188e-27,0.0,2.0462534018032955e-106,6.1024008213610166e-58,1.0,1.3102207213956929e-23,0.0
CXCL16,2.7055549527099163e-05,0.0,2.4382108592013526e-20,0.9999728921217503,0.0,5.232872113015849e-08,0.0
CD40,1.913161753350169e-07,0.0,9.329690003702857e-20,6.130085398159685e-32,0.0,0.9999998086838252,0.0
C4orf48,4.3888444552060236e-17,0.0,1.296449757441022e-11,4.986823612684484e-09,0.0,0.9999999950002127,0.0
HCK,3.3646518179127777e-20,0.0,0.9999999999997442,7.310172658511354e-31,0.0,2.55318686178137e-13,0.0
IRF8,0.9889252197357674,0.0,0.011064981294078454,2.6213073161313697e-08,0.0,9.772757080272174e-06,0.0
HES4,1.5814886622188366e-21,0.0,9.083317843569888e-26,3.496680495008151e-09,0.0,0.9999999965033197,0.0
C1QA,1.2938816664825754e-16,0.0,1.0,1.9623185954464127e-62,0.0,2.300677235507195e-20,0.0
LMO2,4.1779410378970837e-19,0.0,1.0,2.855853984813753e-29,0.0,9.233064387360539e-37,0.0
OLIG1,8.641920412798715e-37,0.0,4.416652108069723e-83,1.503430355274455e-90,1.0,1.5453950719019235e-99,0.0
PPIE,5.2926701741222134e-241,1.0,4.729689886498618e-77,3.9073412556950114e-48,0.0,0.0,0.0
PRKAG1,1.1886880949603251e-08,0.0,9.185828970115506e-52,0.9999999879727586,0.0,1.4036075307387037e-10,0.0
ASCL2,0.9994853975189468,0.0,1.5269643154637054e-09,1.5247437949944146e-05,0.0,0.0004993535161376644,0.0
SMUG1,4.36428910122041e-24,0.0,2.9975188644855897e-40,2.0884806770476858e-23,0.0,1.0,0.0
GIMAP5,3.0469430943384405e-30,0.9999999999902629,5.990463424812526e-35,9.736859781742831e-12,0.0,2.9789563881732408e-61,0.0
APOBEC3A,0.0010941694392776276,0.0,3.159154677296443e-19,0.9989058305606819,0.0,4.014041347919102e-14,0.0
CXCR4,0.9983057490621078,0.0,0.0016942509323569852,9.337617190513184e-18,0.0,5.534004225986368e-12,0.0
PAX5,1.4659371756682358e-43,0.0,0.0,2.9301592963989764e-111,1.0,7.149276950817268e-100,0.0
ITGB2,0.9998800505723933,0.0,4.2602548011033726e-27,7.192396972597882e-06,0.0,0.00011275703063378662,0.0
CAMTA1,1.3887634325433896e-09,0.0,1.93897960844454e-52,0.9999999984967012,0.0,1.145349977013981e-10,0.0
CDKN2A,1.4781072079393481e-61,0.0,8.325189798413724e-122,8.781889698703597e-58,1.0,6.575904563871136e-78,0.0
FAM172A,8.345260465849212e-07,0.0,2.299745441605316e-43,0.9999991639277588,0.0,1.5461955280089e-09,0.0
NRN1,1.3109552454573116e-30,0.0,3.303508436233972e-121,5.942819341960713e-142,1.0,2.5730281222615763e-26,0.0
MT2A,1.1373866672741253e-118,1.0,1.6115406271813933e-63,5.398808027728744e-21,0.0,3.625664447115744e-161,0.0
GATA3,1.5787337678070287e-57,0.0,3.1861042037060623e-168,1.2938014947203914e-282,1.0,2.6871866343769323e-81,0.0
NCKAP1L,1.9837023556720847e-05,0.0,4.063608776783913e-39,0.9999801601287498,0.0,2.8476932871432264e-09,0.0
ZMYND15,2.7055549527099163e-05,0.0,2.4382108592013526e-20,0.9999728921217503,0.0,5.232872113015849e-08,0.0
RNF220,1.6715132004155656e-28,0.0,2.478787593503792e-64,8.93481991455612e-84,1.0,3.7311168657352355e-28,0.0
HLX,4.362927349284154e-08,0.0,1.4069332278927533e-54,9.393836498455165e-19,0.0,0.9999999563707266,0.0
TSC22D3,8.722034034163989e-81,0.0,0.9996829185538887,0.00031708144611029626,0.0,2.1449373109442864e-72,0.0
PDIA6,4.1229529921895833e-07,0.0,9.38178424409716e-42,0.9999995877047014,0.0,9.833885160794551e-18,0.0
RBBP7,2.7538401370626677e-113,0.0,9.95594231438592e-05,0.9999004405768576,0.0,2.39072765975884e-83,0.0
ZEB2,1.5671354618519735e-07,0.0,9.586234879341686e-12,1.8538540074446047e-35,0.0,0.9999998432768694,0.0
COMMD3,3.0949252002599464e-12,0.0,1.1291153243863307e-36,0.999999999996902,0.0,3.7604701788642266e-15,0.0
FLI1,0.9999999999997549,0.0,8.020403175499323e-33,9.576099667684642e-46,0.0,2.456736331559196e-13,0.0
NFIX,2.5287340652943466e-247,1.0,3.385269262314829e-127,4.6535557871679854e-35,0.0,2.6290813102004037e-178,0.0
BCOR,4.272844480895519e-29,0.0,8.823049435194813e-16,1.0,0.0,1.5264872716483154e-22,0.0
IKZF1,0.9693324494965104,0.0,0.030667550503490296,6.2509244359180515e-18,0.0,1.5951231671859022e-43,0.0
C1QB,1.2044340808241055e-07,0.0,0.9999998795565902,4.695734472137416e-19,0.0,4.814736812048712e-19,0.0
VENTX,0.9999999991199715,0.0,8.79998731017333e-10,3.232961579412634e-27,0.0,2.8207903349285135e-14,0.0
TAP1,7.966451475642564e-08,0.0,1.4458696092374855e-37,0.9999999180372503,0.0,2.2982346995935107e-09,0.0
CRNDE,1.4228191052987534e-20,0.0,1.0532119972936012e-30,1.100076200722824e-25,0.0,1.0,0.0
EXOC6,4.3427818955291504e-05,0.0,9.795738101839657e-45,0.9999565632279154,0.0,8.95312849485464e-09,0.0
PRKAG2,1.0536730534016113e-07,0.0,2.6987548276331083e-49,0.9999998869575635,0.0,7.675130290374082e-09,0.0
RPF1,5.8235241942354587e-08,0.0,7.434111617146043e-07,0.9999991983216796,0.0,3.1918245134938994e-11,0.0
TRIM36,2.5316415874470436e-10,0.0,4.910132869283861e-07,1.7869831242732994e-18,0.0,0.9999995087335484,0.0
RIPK3,8.968682877474559e-20,0.9999999990096224,1.741819744695239e-33,9.903773074187526e-10,0.0,4.500958637598852e-19,0.0
TMEM176B,1.8318834124360836e-05,0.0,4.99217261376896e-10,0.0011708025726443689,0.0,0.9988108780940149,0.0
HOTAIRM1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NR4A2,2.4862568032192507e-09,0.0,8.189272799592884e-39,6.445770538468223e-43,0.0,0.9999999975137435,0.0
TBX21,0.9999992881189332,0.0,3.795324777781983e-08,3.9405344629882694e-19,0.0,6.739278208412649e-07,0.0
IGF2BP3,5.398281601207125e-40,0.0,0.999999999999698,4.410901313313367e-40,0.0,3.024230963143779e-13,0.0
DLGAP4,0.00044541554489700496,0.0,0.9995545844551046,1.0075557668044666e-35,0.0,5.503537953310429e-22,0.0
SEZ6,9.752664488946294e-27,0.0,1.0,2.399469136585391e-34,0.0,6.1582158493842015e-87,0.0
BMI1,4.798020764100219e-17,0.0,2.763365685335794e-26,1.0,0.0,2.138316333956228e-17,0.0
MFNG,1.0,0.0,1.3469007162707742e-32,3.5091458286764245e-39,0.0,1.3251662486124366e-17,0.0
CACNA2D4,2.349625754871921e-07,0.0,1.6428992395810979e-25,0.9999997650374254,0.0,1.6169106728306954e-16,0.0
HHEX,1.9485269707876218e-12,0.0,1.1209266549620029e-12,2.4492599468700683e-11,0.0,0.999999999972438,0.0
BLK,0.9979130519222043,0.0,1.810868197245213e-31,0.0020137056755777033,0.0,7.324240221792711e-05,0.0
NFATC1,0.012020217546884735,0.0,8.689644913853528e-37,0.9879797824527331,0.0,3.8329181247019233e-13,0.0
SPR,7.178662427256652e-111,0.0,3.795811469557794e-33,2.3522985618627596e-52,0.0,1.0,0.0
BCL11A,1.501893816940361e-39,0.0,1.0,1.7944901123735287e-30,0.0,3.8738625420951645e-23,0.0
NFIC,4.092345820658362e-28,0.9999999877185353,1.6662425207326183e-49,1.2281464780910005e-08,0.0,2.9740750389734417e-26,0.0
ANP32B,1.725215439836395e-16,0.0,4.867721271792949e-39,1.0,0.0,8.720106822191463e-29,0.0
MMP25,0.99996651490268,0.0,1.2749512194560035e-08,4.07155184836553e-30,0.0,3.347234780805846e-05,0.0
FCGR2A,0.00015455528649071628,0.0,0.9998454447135081,5.423310683128852e-16,0.0,4.122146532698342e-41,0.0
CD6,1.4220821564926691e-05,0.0,4.338701183229918e-12,0.999985779174096,0.0,2.2286062854445963e-17,0.0
SLFN12L,1.0,0.0,4.3645181287219644e-88,3.7319479975150886e-69,0.0,2.0531794724093327e-25,0.0
HLA-C,0.0014378443425718981,0.0,5.753549141353965e-12,0.9985621530546278,0.0,2.5970461991942544e-09,0.0
CELF2,1.2258102770161542e-12,0.0,3.9034986284033926e-20,0.9999999999987672,0.0,6.701008566207231e-15,0.0
TYMP,8.850763169905969e-05,0.0,1.3617467450656804e-35,0.9539142866029368,0.0,0.04599720576536297,0.0
TCEA2,0.99999999997695,0.0,7.0197585943554705e-31,2.304975255988618e-11,0.0,4.882640097978748e-16,0.0
VMO1,0.9985186000848587,0.0,4.370019899275603e-18,0.00018003105367785698,0.0,0.0013013688614620647,0.0
PDE4A,0.006948589669569608,0.0,9.179252667597236e-15,2.455566619383748e-16,0.0,0.9930514103304204,0.0
HS3ST3B1,1.7226246175743545e-05,0.0,4.3792762851960305e-24,5.230324485935897e-14,0.0,0.999982773753773,0.0
