GENE,cluster1,cluster2,cluster3,cluster4,cluster5
GATA3,0.0,0.0,6.948319295137061e-121,1.9228682505115195e-42,1.0
GNAS,0.0,0.0,0.9999998120810075,1.8791899171836403e-07,0.0
PPIE,1.0,0.0,5.439540156686336e-45,3.2097997394151154e-63,0.0
LEF1,0.0,0.0,0.00020751519180721515,0.9997924848081943,0.0
BUB3,0.0,0.0,1.7918069234304752e-78,9.320230911906724e-45,1.0
GIMAP5,0.0,0.0,0.9999999999987033,1.29638535386721e-12,0.0
BCL11B,0.0,0.0,4.477613337084559e-35,1.0,0.0
HPCAL4,1.0,0.0,7.006477761530421e-46,2.337060191763959e-55,0.0
FAM172A,0.0,0.0,0.9999996404621239,3.5953787592900935e-07,0.0
CD6,0.0,0.0,0.0006374538289069382,0.9993625461710924,0.0
CXCR4,0.0,0.0,1.639627423485296e-07,0.9999998360372572,0.0
C4orf48,0.0,0.0,0.00034606854079149334,0.9996539314592097,0.0
PRKAG1,0.0,0.0,0.9999998959951971,1.0400480346719615e-07,0.0
MAFB,0.9999999994363531,0.0,1.199271521966761e-11,5.516537812324635e-10,0.0
METAP1D,0.0,0.0,0.9999997633387454,2.3666125438897926e-07,0.0
RNF220,0.0,0.0,1.3518925014494745e-69,1.604667119477817e-43,1.0
NSG1,0.0,0.0,2.9503558041418097e-08,0.9999999704964435,0.0
SKAP1,0.0,0.0,1.5949220491183163e-46,1.0,0.0
GRAP2,0.0,0.0,3.559374289512597e-11,0.9999999999644054,0.0
COMMD3,0.0,0.0,0.9999999999830909,1.6909227844778653e-11,0.0
BCOR,0.0,0.0,1.917119914877571e-41,1.0,0.0
IKZF1,0.0,0.0,3.7673806832010022e-06,0.9999962326193153,0.0
RPF1,0.0,0.0,0.9784810691962603,0.02151893080374102,0.0
BMI1,0.0,0.0,0.9999999984197654,1.5802340755991003e-09,0.0
TSC22D3,0.0,0.0,5.352037129455276e-81,1.0,0.0
RBBP7,0.0,0.0,1.967194993223325e-96,1.0,0.0
FLI1,0.0,0.0,2.638588805193138e-34,1.0,0.0
SMUG1,0.9999999989270805,0.0,3.836709676069346e-35,1.0729200279472336e-09,0.0
MFNG,0.0,0.0,1.806625205129379e-73,1.0,0.0
NR4A2,0.9999999905914674,0.0,8.091356003818723e-17,9.408531886668662e-09,0.0
MAL,0.0,0.0,0.1722499741286321,0.8277500258713666,0.0
