	cluster3	cluster4	cluster5	cluster6
Adaptive_immune_response	1	1	0.00092	1
B_cell_differentiation	1	1	0.00076	1
B_cell_proliferation	1	1	0.0028	1
Cell_differentiation	1	1	0.0041	1
Immune_system_process	1	1	0.00015	1
Leukocyte_differentiation	1	1	6.84e-06	1
Lymphocyte_activation_involved_in_immune_response	0.0066	1	1	1
Lymphocyte_differentiation	1	1	2.96e-05	1
Myeloid_cell_differentiation	1	1	0.0055	1
Positive_regulation_of_adaptive_immune_response	0.0054	1	1	1
Positive_regulation_of_cellular_metabolic_process	0.00087	1	1	1
Positive_regulation_of_cytokine_production	0.0087	1	1	1
Positive_regulation_of_interleukin-13_production	0.0068	1	1	1
Positive_regulation_of_macromolecule_metabolic_process	0.00099	1	1	1
Positive_regulation_of_nitrogen_compound_metabolic_process	0.00087	1	1	1
Positive_regulation_of_transcription,_DNA-templated	0.00087	1	1	1
Positive_regulation_of_transcription_by_RNA_polymerase_II	0.0012	1	1	1
Regulation_of_CD4-positive,_alpha-beta_T_cell_differentiation	7.35e-05	1	0.0028	1
Regulation_of_T-helper_2_cell_cytokine_production	0.0062	1	1	1
Regulation_of_T-helper_cell_differentiation	0.00087	1	1	1
Regulation_of_alpha-beta_T_cell_differentiation	1	1	0.00014	1
Regulation_of_cell_differentiation	0.0033	1	1	1
Regulation_of_hemopoiesis	1	1	0.0016	1
Regulation_of_immune_system_process	1	1	0.0024	1
Regulation_of_leukocyte_cell-cell_adhesion	0.004	1	1	1
Regulation_of_lymphocyte_activation	1	1	0.0032	1
Regulation_of_transcription,_DNA-templated	0.00099	1	1	1
Regulation_of_transcription_by_RNA_polymerase_II	0.0025	1	0.00066	1
T-helper_cell_lineage_commitment	0.0057	1	1	1
