	cluster3	cluster4	cluster6
Anatomical_structure_morphogenesis	1	5.98e-05	1
Animal_organ_development	1	5.98e-05	1
Animal_organ_morphogenesis	1	8.97e-05	1
Anterior/posterior_pattern_specification	1	2.2e-06	1
Brain_development	1	0.00044	1
Cellular_response_to_cadmium_ion	0.00014	1	1
Cellular_response_to_copper_ion	8.36e-05	1	1
Cellular_response_to_erythropoietin	0.0017	1	1
Cellular_response_to_zinc_ion	8.36e-05	1	1
Cellular_zinc_ion_homeostasis	0.00014	1	1
Central_nervous_system_development	1	0.00011	1
Cranial_nerve_morphogenesis	1	4.48e-06	1
Definitive_hemopoiesis	1	6.88e-05	1
Detoxification_of_copper_ion	8.36e-05	1	1
Embryo_development	1	0.00012	1
Embryonic_morphogenesis	1	0.00011	1
Embryonic_organ_development	1	3.43e-05	1
Embryonic_skeletal_system_development	1	2.27e-07	1
Embryonic_skeletal_system_morphogenesis	1	2.69e-06	1
Eye_development	1	0.0092	1
Facial_nerve_structural_organization	1	1.85e-05	1
Hemopoiesis	1	0.0037	1
Pattern_specification_process	1	2.12e-07	1
Positive_regulation_of_cellular_process	1	0.0062	1
Positive_regulation_of_transcription_by_RNA_polymerase_II	1	2.2e-06	1
Regionalization	1	6.13e-07	1
Rhombomere_3_development	1	0.00074	1
Rhombomere_4_development	1	0.00049	1
Rhombomere_5_development	1	0.00074	1
Rhombomere_development	1	2.12e-07	1
Skeletal_system_development	1	4.48e-06	1
System_development	1	0.00025	1
