	cluster1	cluster2
Activation_of_immune_response	0.0054	1
Adaptive_immune_response	0.00057	1
Adaptive_immune_response_based_on_somatic_recombination_of_immune_receptors_built_from_immunoglobulin_superfamily_domains	0.00022	1
Cell_differentiation	0.0057	1
Defense_response_to_protozoan	0.007	1
Hemopoiesis	0.0026	1
Immune_effector_process	0.00022	1
Immune_system_process	0.00016	1
Leukocyte_activation	0.0054	1
Leukocyte_differentiation	0.0047	1
Lymphocyte_activation	0.0087	1
Lymphocyte_differentiation	0.0057	1
Lymphocyte_mediated_immunity	0.0054	1
Myeloid_cell_differentiation	0.0048	1
Negative_regulation_of_RNA_metabolic_process	0.0019	1
Negative_regulation_of_cell_differentiation	0.0033	1
Negative_regulation_of_cellular_biosynthetic_process	0.0038	1
Negative_regulation_of_cellular_process	0.0087	1
Negative_regulation_of_developmental_process	0.0047	1
Negative_regulation_of_macromolecule_biosynthetic_process	0.003	1
Negative_regulation_of_transcription,_DNA-templated	0.0034	1
Positive_regulation_of_DNA_binding	0.0029	1
Positive_regulation_of_biological_process	0.00028	1
Positive_regulation_of_cellular_metabolic_process	0.0019	1
Positive_regulation_of_cellular_process	0.0016	1
Positive_regulation_of_immune_response	0.003	1
Positive_regulation_of_immune_system_process	0.0033	1
Positive_regulation_of_macromolecule_metabolic_process	0.0061	1
Positive_regulation_of_metabolic_process	0.0023	1
Positive_regulation_of_multicellular_organismal_process	0.0081	1
Positive_regulation_of_nitrogen_compound_metabolic_process	0.0056	1
Positive_regulation_of_transcription,_DNA-templated	0.00022	1
Positive_regulation_of_transcription_by_RNA_polymerase_II	0.00022	1
Regulation_of_CD4-positive,_alpha-beta_T_cell_differentiation	0.0025	1
Regulation_of_DNA_binding	0.0026	1
Regulation_of_RNA_metabolic_process	0.00022	1
Regulation_of_T_cell_differentiation	0.0077	1
Regulation_of_cell_differentiation	0.0012	1
Regulation_of_cellular_biosynthetic_process	0.00022	1
Regulation_of_cellular_metabolic_process	0.00072	1
Regulation_of_developmental_process	0.005	1
Regulation_of_gene_expression	0.0021	1
Regulation_of_immune_response	0.0026	1
Regulation_of_immune_system_process	0.0019	1
Regulation_of_leukocyte_differentiation	0.0019	1
Regulation_of_macromolecule_biosynthetic_process	0.00022	1
Regulation_of_macromolecule_metabolic_process	0.001	1
Regulation_of_metabolic_process	0.0013	1
Regulation_of_multicellular_organismal_development	0.0016	1
Regulation_of_multicellular_organismal_process	0.0044	1
Regulation_of_nitrogen_compound_metabolic_process	0.00085	1
Regulation_of_primary_metabolic_process	0.00039	1
Regulation_of_transcription,_DNA-templated	0.00022	1
Regulation_of_transcription_by_RNA_polymerase_II	0.00025	1
Synapse_pruning	0.0016	1
