	cluster2
Adaptive_immune_response	0.0021
Alpha-beta_T_cell_differentiation	0.00044
Alpha-beta_T_cell_differentiation_involved_in_immune_response	0.00047
Animal_organ_development	0.0027
Cell_activation	5.5e-06
Hemopoiesis	1.59e-06
Immune_effector_process	0.00058
Immune_system_process	7.06e-06
Leukocyte_activation	1.17e-05
Leukocyte_activation_involved_in_immune_response	0.00015
Leukocyte_differentiation	0.00018
Lymphocyte_activation	5.5e-06
Lymphocyte_activation_involved_in_immune_response	0.00011
Lymphocyte_differentiation	6.18e-05
Multicellular_organism_development	0.0012
Myeloid_cell_differentiation	0.0013
Negative_regulation_of_biological_process	2.45e-05
Negative_regulation_of_cell_differentiation	8.51e-05
Negative_regulation_of_cellular_metabolic_process	0.00054
Negative_regulation_of_cellular_process	0.00011
Negative_regulation_of_developmental_process	4.36e-06
Negative_regulation_of_growth	0.0052
Negative_regulation_of_macromolecule_metabolic_process	0.00035
Negative_regulation_of_metabolic_process	0.00022
Negative_regulation_of_multicellular_organismal_process	0.0019
Negative_regulation_of_nitrogen_compound_metabolic_process	0.0002
Negative_regulation_of_transcription,_DNA-templated	0.00011
Negative_regulation_of_transcription_by_RNA_polymerase_II	2.15e-05
Nervous_system_development	0.0022
Pattern_specification_process	0.0027
Positive_regulation_of_T_cell_differentiation	0.0044
Positive_regulation_of_biological_process	6.34e-05
Positive_regulation_of_biosynthetic_process	5.5e-06
Positive_regulation_of_cell_adhesion	0.00022
Positive_regulation_of_cellular_biosynthetic_process	1.13e-05
Positive_regulation_of_cellular_metabolic_process	1.5e-06
Positive_regulation_of_cellular_process	0.0001
Positive_regulation_of_developmental_process	0.0012
Positive_regulation_of_gene_expression	0.0059
Positive_regulation_of_leukocyte_activation	0.0035
Positive_regulation_of_leukocyte_cell-cell_adhesion	0.0003
Positive_regulation_of_lymphocyte_activation	0.0066
Positive_regulation_of_macromolecule_biosynthetic_process	1.3e-05
Positive_regulation_of_macromolecule_metabolic_process	4.52e-06
Positive_regulation_of_metabolic_process	1.59e-06
Positive_regulation_of_multicellular_organismal_process	0.0054
Positive_regulation_of_nitrogen_compound_metabolic_process	1.5e-06
Positive_regulation_of_nucleobase-containing_compound_metabolic_process	3.95e-05
Positive_regulation_of_transcription,_DNA-templated	5.5e-06
Positive_regulation_of_transcription_by_RNA_polymerase_II	1.5e-06
Regionalization	0.007
Regulation_of_CD4-positive,_alpha-beta_T_cell_differentiation	0.0018
Regulation_of_RNA_metabolic_process	3.69e-06
Regulation_of_T-helper_2_cell_cytokine_production	0.0079
Regulation_of_T_cell_differentiation	0.00072
Regulation_of_alpha-beta_T_cell_differentiation	0.00047
Regulation_of_apoptotic_process	0.00014
Regulation_of_biological_process	0.00072
Regulation_of_biosynthetic_process	3.52e-05
Regulation_of_cell_adhesion	2.25e-05
Regulation_of_cell_death	9.09e-05
Regulation_of_cell_differentiation	5.5e-06
Regulation_of_cell_population_proliferation	0.0068
Regulation_of_cellular_biosynthetic_process	6.24e-05
Regulation_of_cellular_metabolic_process	5.5e-06
Regulation_of_cellular_process	0.0024
Regulation_of_developmental_process	5.7e-05
Regulation_of_gene_expression	6.09e-06
Regulation_of_hemopoiesis	0.0012
Regulation_of_histone_H3-K4_methylation	0.0075
Regulation_of_histone_methylation	0.0096
Regulation_of_immune_system_process	0.0083
Regulation_of_leukocyte_activation	0.006
Regulation_of_leukocyte_cell-cell_adhesion	0.0001
Regulation_of_leukocyte_differentiation	0.0044
Regulation_of_macromolecule_biosynthetic_process	2.27e-05
Regulation_of_macromolecule_metabolic_process	3.52e-06
Regulation_of_metabolic_process	5.5e-06
Regulation_of_multicellular_organismal_development	0.0059
Regulation_of_multicellular_organismal_process	0.00033
Regulation_of_nitrogen_compound_metabolic_process	1.83e-06
Regulation_of_nucleobase-containing_compound_metabolic_process	1.83e-06
Regulation_of_primary_metabolic_process	1.83e-06
Regulation_of_programmed_cell_death	6.19e-05
Regulation_of_transcription,_DNA-templated	3.69e-06
Regulation_of_transcription_by_RNA_polymerase_II	5.5e-06
Response_to_organic_substance	0.0037
Response_to_stimulus	0.00051
System_development	0.00047
T-helper_cell_differentiation	0.0066
T_cell_differentiation	0.0041
