GENE,cluster1,cluster2,cluster3,cluster4
ABALON,0.9999926809182869,3.827613734313295e-10,7.3186989517631335e-06,0.0
ABAT,0.6769163045026503,1.734510868397388e-05,0.3230663503886661,0.0
ABCA1,0.0032064909345281088,3.965994020567881e-05,0.9967538491252654,0.0
ABCA7,0.5986511160951803,2.8034864429086298e-05,0.40132084904039017,0.0
ABCD1,3.0286567045814863e-127,0.9999989885704962,1.0114295038190253e-06,0.0
ABCG1,2.506514956439862e-62,0.0015152568628259968,0.9984847431371744,0.0
ABLIM2,0.0,0.9999999999697415,3.025895304015151e-11,0.0
ABTB1,0.9999501955706246,2.1040372460603365e-09,4.980232533827294e-05,0.0
ACKR3,1.755660470592264e-91,0.015093030804644345,0.9849069691953559,0.0
ACOX3,0.9999990532253299,4.0024230312455605e-11,9.467346461340073e-07,0.0
ACP5,2.7317242305122296e-10,4.70237192637958e-05,0.9999529760075644,0.0
ACSM4,7.569280375053852e-28,0.0005577981994560159,0.9994422018005445,0.0
ACTA1,2.652480583693135e-231,0.010924871261924467,0.9890751287380739,0.0
ACTA2,0.9981199034117152,1.0046066100331595e-07,0.0018799961276242704,0.0
ACTC1,1.0788878727263581e-234,0.8549817360004887,0.14501826399951234,0.0
ACTN2,1.9406818112214592e-119,0.08289157199755473,0.9171084280024462,0.0
ACTN3,1.3603941635409273e-34,0.00029028841200618756,0.9997097115879933,0.0
ADAM33,1.2743268467364953e-286,0.9999999999821725,1.7826977843661202e-11,0.0
ADAMTS18,1.554395062457849e-163,0.0036947267512634483,0.9963052732487354,0.0
ADAMTS20,1.036197966800738e-61,0.00016495004411407518,0.9998350499558857,0.0
ADAMTS4,0.9999531742767803,1.890264182030653e-09,4.682383295538434e-05,0.0
ADAMTS6,0.9962438742233518,1.2575461454702762e-07,0.003756000022033396,0.0
ADAMTSL5,2.1195778291716422e-203,0.999990472556679,9.52744332110424e-06,0.0
ADCY8,1.2820722569739516e-226,0.25385831137137965,0.7461416886286186,0.0
ADGRB1,0.0,1.0,1.9924773658870535e-38,0.0
ADGRB2,1.1008005220030237e-163,0.9973526480692264,0.002647351930773505,0.0
ADGRE2,8.776549716910515e-68,0.027692737945614283,0.9723072620543867,0.0
ADGRG1,8.211338048943658e-87,0.056201753605911134,0.9437982463940872,0.0
ADGRG2,9.72531611715036e-131,0.1357365222771436,0.8642634777228556,0.0
ADGRG3,1.6797723392218358e-256,0.9954978333698188,0.004502166630182614,0.0
ADGRG7,6.450558068807233e-22,0.00019007241888699644,0.9998099275811129,0.0
ADHFE1,0.9992421612369276,3.1611066709883634e-08,0.0007578071520059165,0.0
ADRA2A,7.511111069925014e-165,0.001678039961481566,0.9983219600385178,0.0
ADRB2,2.9710134215478072e-05,5.8152101407966634e-05,0.9999121377643762,0.0
AFF3,7.512794149624119e-30,0.004664775072565279,0.995335224927434,0.0
AGAP7P,0.0011416211951825242,2.9992889362471194e-05,0.9988283859154551,0.0
AGPAT3,0.9666779214185073,1.6380771020076993e-06,0.03332044050439092,0.0
AHNAK,5.015992331076845e-34,0.0015227005975545138,0.9984772994024453,0.0
AICDA,0.9940187305054845,4.769684650141143e-07,0.005980792526050448,0.0
AJAP1,0.0,0.9870968899057948,0.012903110094204447,0.0
AKAP14,4.830525418765477e-26,0.014143961382602278,0.9858560386173976,0.0
AKR1D1,0.6040219067479785,4.6209906868161956e-05,0.3959318833451529,0.0
ALDH1A3,6.074020608129656e-302,0.9998980932686996,0.00010190673130101399,0.0
ALDH1L2,1.500010686981201e-17,2.7400862663867747e-05,0.9999725991373355,0.0
ALS2CL,3.8236367083526965e-108,0.05115154751147653,0.948848452488523,0.0
AMACR,0.9999983551277388,8.18628830294749e-11,1.644790398300233e-06,0.0
AMBP,5.145851356458775e-87,0.0021887321561836017,0.997811267843817,0.0
AMDHD1,3.680791036999856e-06,4.586127420558228e-05,0.9999504579347579,0.0
AMHR2,0.999960126727508,1.7277121663494362e-09,3.98715447799992e-05,0.0
AMN,1.3025248927810223e-107,0.0168390065368715,0.9831609934631299,0.0
ANG,0.9999935516844055,2.34611320526772e-10,6.448080983167674e-06,0.0
ANGPT2,0.9455803786323699,5.471687350116962e-06,0.05441414968027945,0.0
ANGPT4,4.414841099348646e-76,0.006232291020217908,0.9937677089797823,0.0
ANGPTL4,6.443699562849481e-27,7.906300613371697e-05,0.9999209369938655,0.0
ANK1,0.0,0.9999999999992895,7.100237134766645e-13,0.0
ANKMY1,0.9850797604393356,8.967700717580601e-07,0.01491934279059224,0.0
ANKRD19P,0.0,0.9999994435655444,5.564344572139412e-07,0.0
ANKRD44,2.749055096746504e-06,0.00010932779951990276,0.9998879231453829,0.0
ANKRD53,3.4612425941177694e-158,0.9999999976764542,2.3235466646179536e-09,0.0
ANKRD65,2.9165486955051812e-36,0.000493380204259707,0.9995066197957407,0.0
ANO1,0.0,0.9999999968086861,3.191312248958299e-09,0.0
ANO9,5.441377248343728e-86,0.002071197162673377,0.997928802837326,0.0
ANPEP,3.9661751863465963e-87,0.00452063832554156,0.9954793616744594,0.0
ANXA3,3.5860818060571936e-16,5.137817263555329e-05,0.9999486218273639,0.0
ANXA4,0.996681908822315,1.5005722209083157e-07,0.003317941120463129,0.0
AOC2,0.9999140403596904,6.430346885958889e-09,8.595320996282872e-05,0.0
AOC3,7.931752581451725e-13,7.122559493935742e-05,0.9999287744042665,0.0
AP3B2,3.464195172979218e-25,5.2726195250847225e-05,0.9999472738047492,0.0
APBB3,0.9999989576648965,4.6693236954118796e-11,1.0422884100279365e-06,0.0
APCDD1L,6.292594025867993e-162,0.29527531345463365,0.7047246865453648,0.0
APLP1,0.0,1.0,2.226295907084609e-22,0.0
APOA2,0.9999611132984021,1.235804893912843e-09,3.888546579302731e-05,0.0
APOBEC3B-AS1,4.976050163842242e-07,4.0799447215350046e-05,0.9999587029477683,0.0
APOL3,3.524941090768849e-23,0.00012751576295202686,0.9998724842370471,0.0
AQP5,0.0,0.9999999633158161,3.6684184903921366e-08,0.0
ARFGAP3,0.9999958549422627,1.9043661400224496e-10,4.1448673006092304e-06,0.0
ARHGAP22,9.211639467442331e-47,0.0001730821990998642,0.9998269178009007,0.0
ARHGAP24,0.9999974746181985,1.0671215096532444e-10,2.5252750893443222e-06,0.0
ARHGAP30,7.991350424657675e-71,0.001819596423673388,0.9981804035763263,0.0
ARHGAP40,1.6243815113396103e-242,0.6545942416384143,0.3454057583615843,0.0
ARHGDIG,1.6309095852958196e-104,0.08946576030027138,0.9105342396997271,0.0
ARL4D,0.9999988356517437,4.041991880722115e-11,1.1643078361915748e-06,0.0
ARNT2,1.952431742044896e-182,0.0259670428497049,0.9740329571502957,0.0
ARRDC3,0.9999969367082582,1.522788906056411e-10,3.0631394630617314e-06,0.0
ARRDC3-AS1,0.9999937159787838,3.26491352690605e-10,6.28369472472858e-06,0.0
ASNS,0.9998406913461616,4.944170829420879e-09,0.0001593037096677681,0.0
ATP13A5,6.88705285281857e-14,3.821674940052168e-05,0.9999617832505306,0.0
ATP8A2,1.790086136864525e-58,0.0007773391349100134,0.9992226608650906,0.0
ATP8B3,0.999872449365361,6.963423446576918e-09,0.00012754367121538862,0.0
B3GNT7,5.43436536383036e-49,0.00559782409063874,0.9944021759093608,0.0
B3GNT8,0.9999907829232636,5.094139852668449e-10,9.216567322234642e-06,0.0
B3GNT9,1.122539774025676e-293,1.0,4.2626337475331607e-17,0.0
B4GALNT1,0.0,1.0,2.5446954846110947e-22,0.0
BAIAP3,4.729466667916402e-149,0.8093183581651969,0.19068164183480285,0.0
BARX1,0.0,1.0,5.498046635498381e-41,0.0
BAX,0.993908787177241,4.2025415504317015e-07,0.006090792568603487,0.0
BBC3,4.551048636743772e-36,0.0013028742223058303,0.9986971257776935,0.0
