	cluster1	cluster2	cluster3
Adenylate_cyclase-activating_G_protein-coupled_receptor_signaling_pathway	1	1	0.0046
Adenylate_cyclase-modulating_G_protein-coupled_receptor_signaling_pathway	1	1	0.0074
Anatomical_structure_development	1	1.63e-13	1.78e-08
Anatomical_structure_formation_involved_in_morphogenesis	1	7.64e-05	0.00012
Anatomical_structure_morphogenesis	1	2e-07	2.47e-09
Angiogenesis	1	1	1.65e-05
Animal_organ_development	1	1.67e-13	0.00012
Animal_organ_morphogenesis	1	2.06e-09	0.00025
Anterior/posterior_pattern_specification	1	0.00015	1
Axon_development	1	0.00076	1
Axonemal_dynein_complex_assembly	1	1	0.0011
Axoneme_assembly	1	1	0.0012
Axonogenesis	1	0.0024	1
Behavior	1	0.0043	1
Biological_regulation	1	0.0048	1
Blood_vessel_development	1	1	3.49e-06
Blood_vessel_morphogenesis	1	1	1.29e-05
Brain_development	1	1.22e-05	1
Branching_morphogenesis_of_an_epithelial_tube	1	0.0037	1
Cell-cell_signaling	1	6.82e-09	1
Cell_communication	1	0.00071	1.65e-05
Cell_development	1	4.86e-07	0.0094
Cell_differentiation	1	2.81e-12	0.00029
Cell_fate_commitment	1	0.0023	1
Cell_morphogenesis	1	0.0058	1
Cell_morphogenesis_involved_in_differentiation	1	0.0099	1
Cell_morphogenesis_involved_in_neuron_differentiation	1	0.0055	1
Cell_motility	1	0.0066	0.0012
Cell_projection_morphogenesis	1	0.00031	1
Cell_projection_organization	1	3.32e-06	0.0031
Cell_surface_receptor_signaling_pathway	1	0.00014	1e-05
Cell_surface_receptor_signaling_pathway_involved_in_cell-cell_signaling	1	0.0023	1
Cellular_component_morphogenesis	1	0.00071	1
Cellular_response_to_chemical_stimulus	1	1	0.00025
Cellular_response_to_organic_substance	1	1	0.0092
Cellular_response_to_stimulus	1	1	0.00025
Central_nervous_system_development	1	4.17e-06	1
Central_nervous_system_neuron_differentiation	1	0.0056	1
Chemical_synaptic_transmission	1	0.0074	1
Chemotaxis	1	0.002	1
Chordate_embryonic_development	1	0.00013	1
Cilium_movement	1	1	0.00064
Circulatory_system_development	1	9.02e-05	4.51e-07
Developmental_process	1	5.16e-14	8.5e-08
Developmental_process_involved_in_reproduction	1	1.38e-06	1
Digestive_system_development	1	0.0053	1
Embryo_development	1	5.56e-06	1
Embryonic_morphogenesis	1	0.00051	1
Embryonic_organ_development	1	1.04e-06	1
Embryonic_organ_morphogenesis	1	0.00031	1
Enzyme-linked_receptor_protein_signaling_pathway	1	1	0.00012
Epithelial_cell_differentiation	1	0.00037	1
Epithelial_tube_morphogenesis	1	0.00015	1
Epithelium_development	1	3.32e-06	1
Extracellular_matrix_organization	1	1	2.95e-05
Forebrain_development	1	0.00018	1
Generation_of_neurons	1	3.1e-07	1
Head_development	1	4.78e-06	1
Heart_development	1	6.87e-05	1
Heart_morphogenesis	1	0.00015	1
Kidney_morphogenesis	1	0.0061	1
Limbic_system_development	1	0.0053	1
Locomotion	1	0.0011	1
Mesenchymal_cell_differentiation	1	0.0047	1
Mesenchyme_development	1	0.0014	1
Mesenchyme_morphogenesis	1	0.00039	1
Metanephros_development	1	0.00016	1
Microtubule_bundle_formation	1	1	0.0041
Modulation_of_chemical_synaptic_transmission	1	0.00022	1
Morphogenesis_of_a_branching_structure	1	0.0013	1
Morphogenesis_of_an_epithelium	1	0.0004	1
Multicellular_organism_development	1	5.54e-16	1.05e-06
Multicellular_organismal_process	1	6.37e-14	5.09e-06
Negative_regulation_of_developmental_process	1	0.0046	1
Negative_regulation_of_neuron_differentiation	1	0.0026	1
Negative_regulation_of_response_to_stimulus	1	1	0.0016
Nephron_development	1	0.0037	1
