Cell_number	Job_id	Max_memory
5000	11348168	301.32 MB
10000	11348169	1.07 GB
20000	11348170	4.66 GB
30000	11348171	7.07 GB
40000	11348172	12.83 GB
50000	11348173	16.76 GB
60000	11348174	19.60 GB
70000	11348175	35.34 GB
80000	11348176	39.72 GB
90000	11348177	49.55 GB
100000	11348178	53.42 GB
5000	11348614	285.87 MB
10000	11348615	1.52 GB
20000	11348616	5.58 GB
30000	11348621	8.31 GB
40000	11348622	12.84 GB
50000	11348623	16.76 GB
60000	11348624	19.60 GB
70000	11348617	36.21 GB
80000	11348618	39.72 GB
90000	11348619	50.52 GB
100000	11348620	53.43 GB
5000	11349566	298.44 MB
10000	11349567	978.90 MB
20000	11349568	4.61 GB
30000	11349558	7.13 GB
40000	11349559	12.84 GB
50000	11349560	16.76 GB
60000	11349561	19.59 GB
70000	11349562	35.34 GB
80000	11349563	39.72 GB
90000	11349564	49.56 GB
100000	11349565	53.43 GB
