Cell_number	Runtime (mins)
5000	 0.1691232 
10000	 0.3760992 
20000	 1.47316 
30000	 2.038756 
40000	 5.795295 
50000	 8.22876 
60000	 8.53092 
70000	 24.43361 
80000	 31.08816 
90000	 35.98498 
100000	 38.48161 
5000	 0.2157004 
10000	 0.4463268 
20000	 1.159773 
30000	 1.977479 
40000	 5.111468 
50000	 7.471786 
60000	 9.291854 
70000	 21.22959 
80000	 24.13931 
90000	 33.05158 
100000	 39.03371 
5000	 0.2294729 
10000	 0.3860541 
20000	 1.31564 
30000	 2.233187 
40000	 6.644371 
50000	 8.166385 
60000	 8.655165 
70000	 20.27963 
80000	 23.48259 
90000	 30.37839 
100000	 32.24974 
