Sample_size	Job_id	Max_memory
4	11333360	257.09 MB
10	11333361	299.28 MB
50	11333362	321.07 MB
100	11333363	387.90 MB
500	11333364	972.51 MB
1000	11333365	1.36 GB
2000	11333366	2.33 GB
3000	11333367	3.11 GB
4000	11333368	4.19 GB
5000	11333369	7.09 GB
4	11340088	265.15 MB
10	11340089	306.82 MB
50	11340090	321.08 MB
100	11340091	387.79 MB
500	11340092	888.52 MB
1000	11340093	1.37 GB
2000	11340084	2.32 GB
3000	11340085	3.10 GB
4000	11340086	4.19 GB
5000	11340087	6.95 GB
4	11342104	296.78 MB
10	11342105	309.32 MB
50	11342106	328.75 MB
100	11342107	388.57 MB
500	11342108	876.31 MB
1000	11342109	1.47 GB
2000	11342110	2.54 GB
3000	11342111	3.17 GB
4000	11342112	4.31 GB
5000	11342113	7.08 GB
